x1,x2,x3,y
2018,CO2,AT,33.592902698833676
2025,CO2,AT,1.2422611766475706
2030,CO2,AT,0.3360710716538452
2035,CO2,AT,0.03972175704268333
2040,CO2,AT,0.017774453147399054
2045,CO2,AT,0.01741070363850278
2050,CO2,AT,0.010371920966893659
2018,CO2,BE,57.17283085268079
2025,CO2,BE,6.450511282913057
2030,CO2,BE,0.4374049518364335
2035,CO2,BE,0.08688012977471567
2040,CO2,BE,0.06377157219538679
2045,CO2,BE,0.062429571197421416
2050,CO2,BE,0.012627306409694526
2018,CO2,BG,28.038122077685788
2025,CO2,BG,0.5115678582603731
2030,CO2,BG,0.18350154990750678
2035,CO2,BG,0.03642329430363145
2040,CO2,BG,0.028794538767771
2045,CO2,BG,0.02818996914636697
2050,CO2,BG,0.006619571179104323
2018,CO2,CH,21.265747596995833
2025,CO2,CH,2.5074807421687755
2030,CO2,CH,0.27231009656276217
2035,CO2,CH,0.02484584126681809
2040,CO2,CH,0.012353781281457695
2045,CO2,CH,0.012107958950177921
2050,CO2,CH,0.011864940409388942
2018,CO2,CZ,54.33839321636978
2025,CO2,CZ,1.5488623042114
2030,CO2,CZ,0.3232871721391779
2035,CO2,CZ,0.030883110840069658
2040,CO2,CZ,0.011575046662423741
2045,CO2,CZ,0.011344720020693411
2050,CO2,CZ,0.011117020429339253
2018,CO2,DE,432.7387911621122
2025,CO2,DE,44.76119295950786
2030,CO2,DE,-141.00915976995543
2035,CO2,DE,-128.98603697544283
2040,CO2,DE,-149.26727816110298
2045,CO2,DE,-133.27225793458658
2050,CO2,DE,-128.94871988595187
2018,CO2,DK,11.02344807175589
2025,CO2,DK,0.9633695150107475
2030,CO2,DK,-2.5366121746316233
2035,CO2,DK,-2.795248201361848
2040,CO2,DK,-4.842450810051281
2045,CO2,DK,-4.847304669431207
2050,CO2,DK,-4.991111360444854
2018,CO2,EE,9.850003126974348
2025,CO2,EE,0.0542607111351706
2030,CO2,EE,0.03922978365870645
2035,CO2,EE,0.0034490217777078985
2040,CO2,EE,0.0016496285060260923
2045,CO2,EE,0.0016168032911499344
2050,CO2,EE,0.0015843524727936085
2018,CO2,ES,127.38283802888574
2025,CO2,ES,5.025632760299241
2030,CO2,ES,2.700708764736521
2035,CO2,ES,-0.9886353237274703
2040,CO2,ES,-13.098559966092171
2045,CO2,ES,-15.005582594875447
2050,CO2,ES,-22.362684942599373
2018,CO2,FI,27.51984771103308
2025,CO2,FI,0.9921143375004149
2030,CO2,FI,0.22129912905773202
2035,CO2,FI,0.020376330003729785
2040,CO2,FI,0.007910340225726778
2045,CO2,FI,0.00775293592730173
2050,CO2,FI,0.007597326944513131
2018,CO2,FR,154.48216297241675
2025,CO2,FR,14.017355240327756
2030,CO2,FR,2.4698939228058716
2035,CO2,FR,0.2451424882316746
2040,CO2,FR,0.12107664423659154
2045,CO2,FR,0.11862433560464584
2050,CO2,FR,0.08762205716328599
2018,CO2,GR,33.61844329895268
2025,CO2,GR,1.3708574694731417
2030,CO2,GR,0.2901748146457141
2035,CO2,GR,0.025840551001850974
2040,CO2,GR,0.012533237113491481
2045,CO2,GR,0.012283843871412235
2050,CO2,GR,0.012037295148775015
2018,CO2,HR,5.366501828454683
2025,CO2,HR,0.18038877389132102
2030,CO2,HR,0.0913259913644928
2035,CO2,HR,0.011249728131126572
2040,CO2,HR,0.006365167152116075
2045,CO2,HR,0.006233714868997039
2050,CO2,HR,0.002921563253133738
2018,CO2,HU,23.296056110516652
2025,CO2,HU,1.4934709171330862
2030,CO2,HU,0.2530112416598743
2035,CO2,HU,0.03073992943100038
2040,CO2,HU,0.016649932060339673
2045,CO2,HU,0.01630791125724151
2050,CO2,HU,0.008860780276178735
2018,CO2,IE,22.20183079087865
2025,CO2,IE,-2.7510405365092034
2030,CO2,IE,-2.064962604627067
2035,CO2,IE,-2.1085457950772133
2040,CO2,IE,-3.6144626610316726
2045,CO2,IE,-3.6236632457427183
2050,CO2,IE,-3.121612430097524
2018,CO2,IT,225.3602494470788
2025,CO2,IT,36.94116802633776
2030,CO2,IT,2.029166966470102
2035,CO2,IT,0.17987245140105976
2040,CO2,IT,0.08783751899963627
2045,CO2,IT,0.08608967975897149
2050,CO2,IT,0.08436177595304485
2018,CO2,LT,4.1210630830183765
2025,CO2,LT,0.3964524483545816
2030,CO2,LT,0.21354909135130914
2035,CO2,LT,-0.08782237664169602
2040,CO2,LT,-1.3237720648864588
2045,CO2,LT,-1.0628690173662882
2050,CO2,LT,-1.1313777962328688
2018,CO2,LU,4.518713981309743
2025,CO2,LU,0.2028576427208249
2030,CO2,LU,0.024717513611231617
2035,CO2,LU,0.002969569923647824
2040,CO2,LU,0.001804754621659404
2045,CO2,LU,0.001767614058139503
2050,CO2,LU,0.0009155083997691262
2018,CO2,LV,3.908743364090081
2025,CO2,LV,0.07169448990986356
2030,CO2,LV,0.05010512123272769
2035,CO2,LV,0.004527325512559868
2040,CO2,LV,0.0017961493319600154
2045,CO2,LV,0.0017604085651413788
2050,CO2,LV,0.001725075448928031
2018,CO2,NL,91.41405255114118
2025,CO2,NL,-4.363023106345474
2030,CO2,NL,-2.877707048716448
2035,CO2,NL,-3.8988784642595884
2040,CO2,NL,-19.855576357282406
2045,CO2,NL,-28.299918342220735
2050,CO2,NL,-21.56351972716864
2018,CO2,NO,25.47088394713128
2025,CO2,NO,-5.750718905724169
2030,CO2,NO,-3.624320540191629
2035,CO2,NO,-3.8334289875229914
2040,CO2,NO,-4.371415555289698
2045,CO2,NO,-4.508066736722538
2050,CO2,NO,-4.1378354588294135
2018,CO2,PL,213.91449516211716
2025,CO2,PL,11.29100803997873
2030,CO2,PL,8.757897294954645
2035,CO2,PL,5.163065401645299
2040,CO2,PL,-35.959312281501944
2045,CO2,PL,-45.685890615324496
2050,CO2,PL,-34.76898044657172
2018,CO2,PT,24.830463195405294
2025,CO2,PT,0.3931817688163968
2030,CO2,PT,0.24539566561238843
2035,CO2,PT,0.021716206564177144
2040,CO2,PT,0.01079232447586229
2045,CO2,PT,0.010577572870492184
2050,CO2,PT,0.010365270670372951
2018,CO2,RO,48.86780962550357
2025,CO2,RO,1.9298449131088637
2030,CO2,RO,0.35899282732897897
2035,CO2,RO,0.08260513753950746
2040,CO2,RO,0.06938886153147984
2045,CO2,RO,0.06792770400643042
2050,CO2,RO,0.013109182059401184
2018,CO2,SE,33.348870022833495
2025,CO2,SE,2.9184915323175638
2030,CO2,SE,0.3992022794044352
2035,CO2,SE,0.03766209911861234
2040,CO2,SE,0.014069161199391864
2045,CO2,SE,0.013789205295495743
2050,CO2,SE,0.013512442501424513
2018,CO2,SI,6.543437497480291
2025,CO2,SI,0.32625671042793947
2030,CO2,SI,0.08623309317653768
2035,CO2,SI,0.007749778635789399
2040,CO2,SI,0.003148116821878632
2045,CO2,SI,0.003085473862717875
2050,CO2,SI,0.0030235453941092815
2018,CO2,SK,27.315268666106697
2025,CO2,SK,2.235158251600305
2030,CO2,SK,0.12753237158677613
2035,CO2,SK,0.014334565133188969
2040,CO2,SK,0.00790302213886488
2045,CO2,SK,0.0077398930746682415
2050,CO2,SK,0.003682493807758337
2018,CO2,TR,293.27077280640697
2025,CO2,TR,2.6340190571032482
2030,CO2,TR,1.8585049971538732
2035,CO2,TR,0.21934892839523662
2040,CO2,TR,0.12989087786209652
2045,CO2,TR,0.12723201273237067
2050,CO2,TR,0.07534087093473736
2018,CO2,UK,203.7929308234611
2025,CO2,UK,7.076848353248965
2030,CO2,UK,2.067405549787334
2035,CO2,UK,-0.21560676599741457
2040,CO2,UK,-33.25829258745584
2045,CO2,UK,-33.062092775835424
2050,CO2,UK,-31.28124913299011
2018,CO2,NONEU_Balkan,24.751714817356984
2025,CO2,NONEU_Balkan,0.3772924891690179
2030,CO2,NONEU_Balkan,0.22719468391804942
2035,CO2,NONEU_Balkan,0.035005746031449625
2040,CO2,NONEU_Balkan,0.01988950475871791
2045,CO2,NONEU_Balkan,0.019472260564830004
2050,CO2,NONEU_Balkan,0.004809039278174812
