x1,x2,x3,x4,y
2018,CO2,Power,AT,2.1166235118809094
2025,CO2,Power,AT,0.0
2030,CO2,Power,AT,0.0
2035,CO2,Power,AT,0.0
2040,CO2,Power,AT,0.0
2045,CO2,Power,AT,0.0
2050,CO2,Power,AT,0.0
2018,CO2,Industry,AT,14.278514301803028
2025,CO2,Industry,AT,0.4813177058330516
2030,CO2,Industry,AT,0.0
2035,CO2,Industry,AT,0.0
2040,CO2,Industry,AT,0.0
2045,CO2,Industry,AT,0.0
2050,CO2,Industry,AT,0.0
2018,CO2,Buildings,AT,12.930820976023572
2025,CO2,Buildings,AT,0.0
2030,CO2,Buildings,AT,0.0
2035,CO2,Buildings,AT,0.0
2040,CO2,Buildings,AT,0.0
2045,CO2,Buildings,AT,0.0
2050,CO2,Buildings,AT,0.0
2018,CO2,Transportation,AT,2.7358876683827535
2025,CO2,Transportation,AT,0.4928253403738131
2030,CO2,Transportation,AT,0.3360710716538452
2035,CO2,Transportation,AT,0.03972175704268333
2040,CO2,Transportation,AT,0.017774453147399054
2045,CO2,Transportation,AT,0.01741070363850278
2050,CO2,Transportation,AT,0.010371920966893659
2018,CO2,Resources,AT,0.0
2025,CO2,Resources,AT,0.0
2030,CO2,Resources,AT,0.0
2035,CO2,Resources,AT,0.0
2040,CO2,Resources,AT,0.0
2045,CO2,Resources,AT,0.0
2050,CO2,Resources,AT,0.0
2018,CO2,Storages,AT,0.0
2025,CO2,Storages,AT,0.0
2030,CO2,Storages,AT,0.0
2035,CO2,Storages,AT,0.0
2040,CO2,Storages,AT,0.0
2045,CO2,Storages,AT,0.0
2050,CO2,Storages,AT,0.0
2018,CO2,Transformation,AT,0.0
2025,CO2,Transformation,AT,0.0
2030,CO2,Transformation,AT,0.0
2035,CO2,Transformation,AT,0.0
2040,CO2,Transformation,AT,0.0
2045,CO2,Transformation,AT,0.0
2050,CO2,Transformation,AT,0.0
2018,CO2,CHP,AT,1.531056240743412
2025,CO2,CHP,AT,0.2681181304407059
2030,CO2,CHP,AT,0.0
2035,CO2,CHP,AT,0.0
2040,CO2,CHP,AT,0.0
