x1,x2,x3,x4,y
2018,A_Air,CO2,AT,0.0
2025,A_Air,CO2,AT,0.0
2030,A_Air,CO2,AT,0.0
2035,A_Air,CO2,AT,0.0
2040,A_Air,CO2,AT,0.0
2045,A_Air,CO2,AT,0.0
2050,A_Air,CO2,AT,0.0
2018,A_Rooftop_Commercial,CO2,AT,0.0
2025,A_Rooftop_Commercial,CO2,AT,0.0
2030,A_Rooftop_Commercial,CO2,AT,0.0
2035,A_Rooftop_Commercial,CO2,AT,0.0
2040,A_Rooftop_Commercial,CO2,AT,0.0
2045,A_Rooftop_Commercial,CO2,AT,0.0
2050,A_Rooftop_Commercial,CO2,AT,0.0
2018,A_Rooftop_Residential,CO2,AT,0.0
2025,A_Rooftop_Residential,CO2,AT,0.0
2030,A_Rooftop_Residential,CO2,AT,0.0
2035,A_Rooftop_Residential,CO2,AT,0.0
2040,A_Rooftop_Residential,CO2,AT,0.0
2045,A_Rooftop_Residential,CO2,AT,0.0
2050,A_Rooftop_Residential,CO2,AT,0.0
2018,CHP_Biomass_Solid,CO2,AT,0.0
2025,CHP_Biomass_Solid,CO2,AT,0.0
2030,CHP_Biomass_Solid,CO2,AT,0.0
2035,CHP_Biomass_Solid,CO2,AT,0.0
2040,CHP_Biomass_Solid,CO2,AT,0.0
2045,CHP_Biomass_Solid,CO2,AT,0.0
2050,CHP_Biomass_Solid,CO2,AT,0.0
2018,CHP_Biomass_Solid_CCS,CO2,AT,0.0
2025,CHP_Biomass_Solid_CCS,CO2,AT,0.0
2030,CHP_Biomass_Solid_CCS,CO2,AT,0.0
2035,CHP_Biomass_Solid_CCS,CO2,AT,0.0
2040,CHP_Biomass_Solid_CCS,CO2,AT,0.0
2045,CHP_Biomass_Solid_CCS,CO2,AT,0.0
2050,CHP_Biomass_Solid_CCS,CO2,AT,0.0
2018,CHP_Coal_Hardcoal,CO2,AT,0.0
2025,CHP_Coal_Hardcoal,CO2,AT,0.0
2030,CHP_Coal_Hardcoal,CO2,AT,0.0
2035,CHP_Coal_Hardcoal,CO2,AT,0.0
2040,CHP_Coal_Hardcoal,CO2,AT,0.0
2045,CHP_Coal_Hardcoal,CO2,AT,0.0
2050,CHP_Coal_Hardcoal,CO2,AT,0.0
2018,CHP_Coal_Hardcoal_CCS,CO2,AT,0.0
2025,CHP_Coal_Hardcoal_CCS,CO2,AT,0.0
2030,CHP_Coal_Hardcoal_CCS,CO2,AT,0.0
2035,CHP_Coal_Hardcoal_CCS,CO2,AT,0.0
2040,CHP_Coal_Hardcoal_CCS,CO2,AT,0.0
