x1,x2,x3,x4,x5,y
MT_PSNG_ROAD,8,AT,Mobility_Passenger,2018,8.48149519650657
MT_PSNG_RAIL,8,AT,Mobility_Passenger,2018,2.1502382188326514
MT_PSNG_AIR,8,AT,Mobility_Passenger,2018,1.0751191094163257
MT_PSNG_ROAD_RE,8,AT,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,8,AT,Mobility_Passenger,2018,1.5529498247124707
MT_PSNG_AIR_RE,8,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,8,AT,Mobility_Passenger,2018,8.242579838858498
MT_PSNG_RAIL_CONV,8,AT,Mobility_Passenger,2018,0.5972883941201811
MT_PSNG_AIR_CONV,8,AT,Mobility_Passenger,2018,1.0751191094163257
MT_FRT_ROAD,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,8,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,1932,AT,Mobility_Passenger,2018,37.97572397425869
MT_PSNG_RAIL,1932,AT,Mobility_Passenger,2018,9.627648331502204
MT_PSNG_AIR,1932,AT,Mobility_Passenger,2018,4.813824165751102
MT_PSNG_ROAD_RE,1932,AT,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,1932,AT,Mobility_Passenger,2018,6.953301572751592
MT_PSNG_AIR_RE,1932,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,1932,AT,Mobility_Passenger,2018,36.90598527075845
MT_PSNG_RAIL_CONV,1932,AT,Mobility_Passenger,2018,2.6743467587506125
MT_PSNG_AIR_CONV,1932,AT,Mobility_Passenger,2018,4.813824165751102
MT_FRT_ROAD,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,1932,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,3856,AT,Mobility_Passenger,2018,22.509073061608824
MT_PSNG_RAIL,3856,AT,Mobility_Passenger,2018,5.706525564914913
MT_PSNG_AIR,3856,AT,Mobility_Passenger,2018,2.8532627824574566
MT_PSNG_ROAD_RE,3856,AT,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,3856,AT,Mobility_Passenger,2018,4.121379574660771
MT_PSNG_AIR_RE,3856,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,3856,AT,Mobility_Passenger,2018,21.87501466550717
MT_PSNG_RAIL_CONV,3856,AT,Mobility_Passenger,2018,1.585145990254143
MT_PSNG_AIR_CONV,3856,AT,Mobility_Passenger,2018,2.8532627824574566
MT_FRT_ROAD,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,3856,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,5780,AT,Mobility_Passenger,2018,6.668693934149696
MT_PSNG_RAIL,5780,AT,Mobility_Passenger,2018,1.6906548002069652
MT_PSNG_AIR,5780,AT,Mobility_Passenger,2018,0.8453274001034826
MT_PSNG_ROAD_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,5780,AT,Mobility_Passenger,2018,1.2210284668161415
MT_PSNG_AIR_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,5780,AT,Mobility_Passenger,2018,6.480843400793367
MT_PSNG_RAIL_CONV,5780,AT,Mobility_Passenger,2018,0.46962633339082377
MT_PSNG_AIR_CONV,5780,AT,Mobility_Passenger,2018,0.8453274001034826
MT_FRT_ROAD,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,7704,AT,Mobility_Passenger,2018,1.8987861987129342
MT_PSNG_RAIL,7704,AT,Mobility_Passenger,2018,0.4813824165751101
MT_PSNG_AIR,7704,AT,Mobility_Passenger,2018,0.24069120828755505
MT_PSNG_ROAD_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,7704,AT,Mobility_Passenger,2018,0.34766507863757956
MT_PSNG_AIR_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,7704,AT,Mobility_Passenger,2018,1.8452992635379222
MT_PSNG_RAIL_CONV,7704,AT,Mobility_Passenger,2018,0.1337173379375306
MT_PSNG_AIR_CONV,7704,AT,Mobility_Passenger,2018,0.24069120828755505
MT_FRT_ROAD,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,7704,AT,Mobility_Passenger,2018,0.0
