x1,x2,x3,y
S_PHS,2018,AT,0.0
S_Gas_H2,2018,AT,0.0
S_Battery_Li-Ion,2018,AT,0.0
S_Battery_Redox,2018,AT,0.0
S_Heat_HLR,2018,AT,0.0
S_Heat_HLI,2018,AT,0.0
S_CAES,2018,AT,0.0
S_Gas_Methane,2018,AT,0.0
S_PHS,2025,AT,0.0
S_Gas_H2,2025,AT,0.013863766372079303
S_Battery_Li-Ion,2025,AT,0.06353894954424145
S_Battery_Redox,2025,AT,0.0
S_Heat_HLR,2025,AT,0.0
S_Heat_HLI,2025,AT,0.0
S_CAES,2025,AT,0.0
S_Gas_Methane,2025,AT,0.0
S_PHS,2030,AT,0.0
S_Gas_H2,2030,AT,0.08581061065944115
S_Battery_Li-Ion,2030,AT,0.03051155662105022
S_Battery_Redox,2030,AT,0.0
S_Heat_HLR,2030,AT,0.0
S_Heat_HLI,2030,AT,0.0
S_CAES,2030,AT,0.0
S_Gas_Methane,2030,AT,0.0
S_PHS,2035,AT,0.0
S_Gas_H2,2035,AT,0.05002868200602148
S_Battery_Li-Ion,2035,AT,0.028753770636777386
S_Battery_Redox,2035,AT,0.0
S_Heat_HLR,2035,AT,0.0
S_Heat_HLI,2035,AT,0.0
S_CAES,2035,AT,0.0
S_Gas_Methane,2035,AT,0.0
S_PHS,2040,AT,0.0
S_Gas_H2,2040,AT,0.03803285451929513
S_Battery_Li-Ion,2040,AT,0.014286948804222552
S_Battery_Redox,2040,AT,0.0
S_Heat_HLR,2040,AT,0.0
S_Heat_HLI,2040,AT,0.0
S_CAES,2040,AT,0.0
S_Gas_Methane,2040,AT,0.0
S_PHS,2045,AT,0.0
S_Gas_H2,2045,AT,0.02701512231435868
S_Battery_Li-Ion,2045,AT,0.007288627779438038
S_Battery_Redox,2045,AT,0.0
S_Heat_HLR,2045,AT,0.0
S_Heat_HLI,2045,AT,0.0
S_CAES,2045,AT,0.0
S_Gas_Methane,2045,AT,0.0
S_PHS,2050,AT,0.0
S_Gas_H2,2050,AT,0.020365565268275796
S_Battery_Li-Ion,2050,AT,0.00011702459099215811
S_Battery_Redox,2050,AT,0.0
S_Heat_HLR,2050,AT,0.00020023146184839082
S_Heat_HLI,2050,AT,0.0
S_CAES,2050,AT,0.0
S_Gas_Methane,2050,AT,0.0
S_PHS,2018,BE,0.0
S_Gas_H2,2018,BE,0.0
S_Battery_Li-Ion,2018,BE,0.0
S_Battery_Redox,2018,BE,0.0
S_Heat_HLR,2018,BE,0.0
S_Heat_HLI,2018,BE,0.0
S_CAES,2018,BE,0.0
S_Gas_Methane,2018,BE,0.0
S_PHS,2025,BE,0.0
S_Gas_H2,2025,BE,0.0
S_Battery_Li-Ion,2025,BE,0.14495895763168956
S_Battery_Redox,2025,BE,0.0
S_Heat_HLR,2025,BE,0.0
S_Heat_HLI,2025,BE,0.0
S_CAES,2025,BE,0.0
S_Gas_Methane,2025,BE,0.0
S_PHS,2030,BE,0.0
S_Gas_H2,2030,BE,0.014404766501549466
