x1,x2,x3,y
2018,A_Air,AT,0.0
2025,A_Air,AT,0.0
2030,A_Air,AT,0.0
2035,A_Air,AT,0.0
2040,A_Air,AT,0.0
2045,A_Air,AT,0.0
2050,A_Air,AT,0.0
2018,A_Rooftop_Commercial,AT,0.0
2025,A_Rooftop_Commercial,AT,0.0
2030,A_Rooftop_Commercial,AT,0.0
2035,A_Rooftop_Commercial,AT,0.0
2040,A_Rooftop_Commercial,AT,0.0
2045,A_Rooftop_Commercial,AT,0.0
2050,A_Rooftop_Commercial,AT,0.0
2018,A_Rooftop_Residential,AT,0.0
2025,A_Rooftop_Residential,AT,0.23551334971454788
2030,A_Rooftop_Residential,AT,0.0
2035,A_Rooftop_Residential,AT,0.0
2040,A_Rooftop_Residential,AT,0.0
2045,A_Rooftop_Residential,AT,0.0
2050,A_Rooftop_Residential,AT,0.0
2018,CHP_Biomass_Solid,AT,0.0
2025,CHP_Biomass_Solid,AT,632.3330606601688
2030,CHP_Biomass_Solid,AT,0.0
2035,CHP_Biomass_Solid,AT,0.0
2040,CHP_Biomass_Solid,AT,0.0
2045,CHP_Biomass_Solid,AT,0.0
2050,CHP_Biomass_Solid,AT,0.0
2018,CHP_Biomass_Solid_CCS,AT,0.0
2025,CHP_Biomass_Solid_CCS,AT,0.0
2030,CHP_Biomass_Solid_CCS,AT,0.0
2035,CHP_Biomass_Solid_CCS,AT,0.0
2040,CHP_Biomass_Solid_CCS,AT,0.0
2045,CHP_Biomass_Solid_CCS,AT,0.0
2050,CHP_Biomass_Solid_CCS,AT,0.0
2018,CHP_Coal_Hardcoal,AT,0.0
2025,CHP_Coal_Hardcoal,AT,0.0
2030,CHP_Coal_Hardcoal,AT,0.0
2035,CHP_Coal_Hardcoal,AT,0.0
2040,CHP_Coal_Hardcoal,AT,0.0
2045,CHP_Coal_Hardcoal,AT,0.0
2050,CHP_Coal_Hardcoal,AT,0.0
2018,CHP_Coal_Hardcoal_CCS,AT,0.0
2025,CHP_Coal_Hardcoal_CCS,AT,0.0
2030,CHP_Coal_Hardcoal_CCS,AT,0.0
2035,CHP_Coal_Hardcoal_CCS,AT,0.0
2040,CHP_Coal_Hardcoal_CCS,AT,0.0
2045,CHP_Coal_Hardcoal_CCS,AT,0.0
2050,CHP_Coal_Hardcoal_CCS,AT,0.0
2018,CHP_Coal_Lignite,AT,0.0
2025,CHP_Coal_Lignite,AT,0.0
2030,CHP_Coal_Lignite,AT,0.0
2035,CHP_Coal_Lignite,AT,0.0
2040,CHP_Coal_Lignite,AT,0.0
2045,CHP_Coal_Lignite,AT,0.0
2050,CHP_Coal_Lignite,AT,0.0
2018,CHP_Coal_Lignite_CCS,AT,0.0
2025,CHP_Coal_Lignite_CCS,AT,0.0
2030,CHP_Coal_Lignite_CCS,AT,0.0
2035,CHP_Coal_Lignite_CCS,AT,0.0
2040,CHP_Coal_Lignite_CCS,AT,0.0
2045,CHP_Coal_Lignite_CCS,AT,0.0
2050,CHP_Coal_Lignite_CCS,AT,0.0
2018,CHP_Gas_CCGT_Biogas,AT,0.0
2025,CHP_Gas_CCGT_Biogas,AT,0.0
2030,CHP_Gas_CCGT_Biogas,AT,0.0
2035,CHP_Gas_CCGT_Biogas,AT,0.0
2040,CHP_Gas_CCGT_Biogas,AT,0.0
2045,CHP_Gas_CCGT_Biogas,AT,0.0
2050,CHP_Gas_CCGT_Biogas,AT,0.0
2018,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2025,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2030,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2035,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2040,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2045,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2050,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2018,CHP_Gas_CCGT_Natural,AT,0.0
2025,CHP_Gas_CCGT_Natural,AT,0.0
2030,CHP_Gas_CCGT_Natural,AT,0.0
2035,CHP_Gas_CCGT_Natural,AT,0.0
2040,CHP_Gas_CCGT_Natural,AT,0.0
2045,CHP_Gas_CCGT_Natural,AT,0.0
2050,CHP_Gas_CCGT_Natural,AT,0.0
2018,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2025,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2030,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2035,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2040,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2045,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2050,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2018,CHP_Gas_CCGT_SynGas,AT,0.0
2025,CHP_Gas_CCGT_SynGas,AT,0.0
2030,CHP_Gas_CCGT_SynGas,AT,90.17097805875774
2035,CHP_Gas_CCGT_SynGas,AT,0.0
2040,CHP_Gas_CCGT_SynGas,AT,0.0
2045,CHP_Gas_CCGT_SynGas,AT,0.0
2050,CHP_Gas_CCGT_SynGas,AT,0.0
2018,CHP_Hydrogen_FuelCell,AT,0.0
2025,CHP_Hydrogen_FuelCell,AT,0.0
2030,CHP_Hydrogen_FuelCell,AT,483.07548855122684
2035,CHP_Hydrogen_FuelCell,AT,0.0
2040,CHP_Hydrogen_FuelCell,AT,0.0
2045,CHP_Hydrogen_FuelCell,AT,0.0
2050,CHP_Hydrogen_FuelCell,AT,0.0
2018,CHP_Oil,AT,0.0
2025,CHP_Oil,AT,0.0
2030,CHP_Oil,AT,0.0
2035,CHP_Oil,AT,0.0
2040,CHP_Oil,AT,0.0
2045,CHP_Oil,AT,0.0
