x1,x2,x3,y
2018,Area_Rooftop_Commercial,AT,0.0
2025,Area_Rooftop_Commercial,AT,0.0
2030,Area_Rooftop_Commercial,AT,0.0
2035,Area_Rooftop_Commercial,AT,0.0
2040,Area_Rooftop_Commercial,AT,0.0
2045,Area_Rooftop_Commercial,AT,0.0
2050,Area_Rooftop_Commercial,AT,0.0
2018,Area_Rooftop_Residential,AT,0.0
2025,Area_Rooftop_Residential,AT,0.0
2030,Area_Rooftop_Residential,AT,0.0
2035,Area_Rooftop_Residential,AT,0.0
2040,Area_Rooftop_Residential,AT,0.0
2045,Area_Rooftop_Residential,AT,0.0
2050,Area_Rooftop_Residential,AT,0.0
2018,Biomass,AT,-64.17408242744062
2025,Biomass,AT,-9.083694806138642
2030,Biomass,AT,76.65631242423245
2035,Biomass,AT,82.7030388167429
2040,Biomass,AT,71.64009782776019
2045,Biomass,AT,72.25374590292436
2050,Biomass,AT,71.6578666772943
2018,Hardcoal,AT,0.0
2025,Hardcoal,AT,-5.087925008806042
2030,Hardcoal,AT,0.0
2035,Hardcoal,AT,0.0
2040,Hardcoal,AT,0.0
2045,Hardcoal,AT,0.0
2050,Hardcoal,AT,0.0
2018,H2,AT,0.0
2025,H2,AT,0.34676835696852826
2030,H2,AT,4.0940031797614616
2035,H2,AT,-0.25920326322887366
2040,H2,AT,-0.14494192503532588
2045,H2,AT,0.8657079567668795
2050,H2,AT,4.736206053518718
2018,Gas_Natural,AT,0.0
2025,Gas_Natural,AT,-4.7792893126685545
2030,Gas_Natural,AT,0.0
2035,Gas_Natural,AT,0.0
2040,Gas_Natural,AT,0.0
2045,Gas_Natural,AT,0.0
2050,Gas_Natural,AT,0.0
2018,Nuclear,AT,0.0
2025,Nuclear,AT,0.0
2030,Nuclear,AT,0.0
2035,Nuclear,AT,0.0
2040,Nuclear,AT,0.0
2045,Nuclear,AT,0.0
2050,Nuclear,AT,0.0
2018,Oil,AT,-37.324524807404565
2025,Oil,AT,-6.723401642207545
2030,Oil,AT,-4.584871373176606
2035,Oil,AT,-0.5419066445113688
2040,Oil,AT,-0.24248912888675375
2045,Oil,AT,-0.23752665263987424
2050,Oil,AT,0.0
2018,Power,AT,12.464113232193036
2025,Power,AT,-40.361244624338795
2030,Power,AT,-31.890702143697197
2035,Power,AT,-17.20150359062541
2040,Power,AT,-13.9574686743692
2045,Power,AT,-5.027772994569887
2050,Power,AT,-17.67266230881191
2018,Mobility_Freight,AT,0.0
2025,Mobility_Freight,AT,0.0
2030,Mobility_Freight,AT,0.0
2035,Mobility_Freight,AT,0.0
2040,Mobility_Freight,AT,0.0
2045,Mobility_Freight,AT,0.0
2050,Mobility_Freight,AT,0.0
2018,Mobility_Passenger,AT,0.0
2025,Mobility_Passenger,AT,0.0
2030,Mobility_Passenger,AT,0.0
2035,Mobility_Passenger,AT,0.0
2040,Mobility_Passenger,AT,0.0
2045,Mobility_Passenger,AT,0.0
2050,Mobility_Passenger,AT,0.0
2018,Lignite,AT,0.0
2025,Lignite,AT,0.0
2030,Lignite,AT,0.0
2035,Lignite,AT,0.0
2040,Lignite,AT,0.0
2045,Lignite,AT,0.0
2050,Lignite,AT,0.0
2018,Gas_Bio,AT,0.0
2025,Gas_Bio,AT,0.0
2030,Gas_Bio,AT,0.0
2035,Gas_Bio,AT,0.0
2040,Gas_Bio,AT,0.0
2045,Gas_Bio,AT,0.0
2050,Gas_Bio,AT,0.0
2018,Gas_Synth,AT,0.0
2025,Gas_Synth,AT,-36.11918535829731
2030,Gas_Synth,AT,-17.69468605479786
2035,Gas_Synth,AT,-11.106912977485104
2040,Gas_Synth,AT,7.223835830366645
2045,Gas_Synth,AT,12.529903705964944
2050,Gas_Synth,AT,12.920799463533509
2018,Heat_Low_Residential,AT,0.0
2025,Heat_Low_Residential,AT,0.0
2030,Heat_Low_Residential,AT,0.0
2035,Heat_Low_Residential,AT,0.0
2040,Heat_Low_Residential,AT,0.0
2045,Heat_Low_Residential,AT,0.0
2050,Heat_Low_Residential,AT,0.0
2018,Heat_Low_Industrial,AT,0.0
2025,Heat_Low_Industrial,AT,0.0
2030,Heat_Low_Industrial,AT,0.0
2035,Heat_Low_Industrial,AT,0.0
2040,Heat_Low_Industrial,AT,0.0
2045,Heat_Low_Industrial,AT,0.0
2050,Heat_Low_Industrial,AT,0.0
2018,Heat_Medium_Industrial,AT,0.0
2025,Heat_Medium_Industrial,AT,0.0
2030,Heat_Medium_Industrial,AT,0.0
2035,Heat_Medium_Industrial,AT,0.0
2040,Heat_Medium_Industrial,AT,0.0
2045,Heat_Medium_Industrial,AT,0.0
2050,Heat_Medium_Industrial,AT,0.0
