x1,x2,x3,x4,y
2018,8,Area_Rooftop_Commercial,AT,0.0
2025,8,Area_Rooftop_Commercial,AT,0.0
2030,8,Area_Rooftop_Commercial,AT,0.0
2035,8,Area_Rooftop_Commercial,AT,0.0
2040,8,Area_Rooftop_Commercial,AT,0.0
2045,8,Area_Rooftop_Commercial,AT,0.0
2050,8,Area_Rooftop_Commercial,AT,0.0
2018,1932,Area_Rooftop_Commercial,AT,0.0
2025,1932,Area_Rooftop_Commercial,AT,0.0
2030,1932,Area_Rooftop_Commercial,AT,0.0
2035,1932,Area_Rooftop_Commercial,AT,0.0
2040,1932,Area_Rooftop_Commercial,AT,0.0
2045,1932,Area_Rooftop_Commercial,AT,0.0
2050,1932,Area_Rooftop_Commercial,AT,0.0
2018,3856,Area_Rooftop_Commercial,AT,0.0
2025,3856,Area_Rooftop_Commercial,AT,0.0
2030,3856,Area_Rooftop_Commercial,AT,0.0
2035,3856,Area_Rooftop_Commercial,AT,0.0
2040,3856,Area_Rooftop_Commercial,AT,0.0
2045,3856,Area_Rooftop_Commercial,AT,0.0
2050,3856,Area_Rooftop_Commercial,AT,0.0
2018,5780,Area_Rooftop_Commercial,AT,0.0
2025,5780,Area_Rooftop_Commercial,AT,0.0
2030,5780,Area_Rooftop_Commercial,AT,0.0
2035,5780,Area_Rooftop_Commercial,AT,0.0
2040,5780,Area_Rooftop_Commercial,AT,0.0
2045,5780,Area_Rooftop_Commercial,AT,0.0
2050,5780,Area_Rooftop_Commercial,AT,0.0
2018,7704,Area_Rooftop_Commercial,AT,0.0
2025,7704,Area_Rooftop_Commercial,AT,0.0
2030,7704,Area_Rooftop_Commercial,AT,0.0
2035,7704,Area_Rooftop_Commercial,AT,0.0
2040,7704,Area_Rooftop_Commercial,AT,0.0
2045,7704,Area_Rooftop_Commercial,AT,0.0
2050,7704,Area_Rooftop_Commercial,AT,0.0
2018,8,Area_Rooftop_Residential,AT,0.0
2025,8,Area_Rooftop_Residential,AT,0.0
2030,8,Area_Rooftop_Residential,AT,0.0
2035,8,Area_Rooftop_Residential,AT,0.0
2040,8,Area_Rooftop_Residential,AT,0.0
2045,8,Area_Rooftop_Residential,AT,0.0
2050,8,Area_Rooftop_Residential,AT,0.0
2018,1932,Area_Rooftop_Residential,AT,0.0
2025,1932,Area_Rooftop_Residential,AT,0.0
2030,1932,Area_Rooftop_Residential,AT,0.0
2035,1932,Area_Rooftop_Residential,AT,0.0
2040,1932,Area_Rooftop_Residential,AT,0.0
2045,1932,Area_Rooftop_Residential,AT,0.0
2050,1932,Area_Rooftop_Residential,AT,0.0
2018,3856,Area_Rooftop_Residential,AT,0.0
2025,3856,Area_Rooftop_Residential,AT,0.0
2030,3856,Area_Rooftop_Residential,AT,0.0
2035,3856,Area_Rooftop_Residential,AT,0.0
2040,3856,Area_Rooftop_Residential,AT,0.0
2045,3856,Area_Rooftop_Residential,AT,0.0
2050,3856,Area_Rooftop_Residential,AT,0.0
2018,5780,Area_Rooftop_Residential,AT,0.0
2025,5780,Area_Rooftop_Residential,AT,0.0
2030,5780,Area_Rooftop_Residential,AT,0.0
2035,5780,Area_Rooftop_Residential,AT,0.0
2040,5780,Area_Rooftop_Residential,AT,0.0
2045,5780,Area_Rooftop_Residential,AT,0.0
2050,5780,Area_Rooftop_Residential,AT,0.0
2018,7704,Area_Rooftop_Residential,AT,0.0
2025,7704,Area_Rooftop_Residential,AT,0.0
2030,7704,Area_Rooftop_Residential,AT,0.0
2035,7704,Area_Rooftop_Residential,AT,0.0
2040,7704,Area_Rooftop_Residential,AT,0.0
2045,7704,Area_Rooftop_Residential,AT,0.0
2050,7704,Area_Rooftop_Residential,AT,0.0
2018,8,Biomass,AT,-17.040485767383167
2025,8,Biomass,AT,0.0
2030,8,Biomass,AT,69.83546634183145
2035,8,Biomass,AT,24.137089916339978
2040,8,Biomass,AT,71.64009782776019
2045,8,Biomass,AT,72.25374590292436
2050,8,Biomass,AT,71.6578666772943
2018,1932,Biomass,AT,-18.209026705167503
2025,1932,Biomass,AT,-3.277672239844343
2030,1932,Biomass,AT,6.8208460824009975
2035,1932,Biomass,AT,5.848824726895458
2040,1932,Biomass,AT,0.0
2045,1932,Biomass,AT,0.0
2050,1932,Biomass,AT,0.0
2018,3856,Biomass,AT,-5.814917973026009
2025,3856,Biomass,AT,0.0
2030,3856,Biomass,AT,0.0
2035,3856,Biomass,AT,5.848824726895458
2040,3856,Biomass,AT,0.0
2045,3856,Biomass,AT,0.0
2050,3856,Biomass,AT,0.0
2018,5780,Biomass,AT,0.0
2025,5780,Biomass,AT,0.0
2030,5780,Biomass,AT,0.0
2035,5780,Biomass,AT,46.868299446612006
2040,5780,Biomass,AT,0.0
