x1,x2,x3,y
S_PHS,2018,AT,0.0
S_Gas_H2,2018,AT,0.0
S_Battery_Li-Ion,2018,AT,0.0
S_Battery_Redox,2018,AT,0.0
S_Heat_HLR,2018,AT,0.0
S_Heat_HLI,2018,AT,0.0
S_CAES,2018,AT,0.0
S_Gas_Methane,2018,AT,0.0
S_PHS,2025,AT,0.0
S_Gas_H2,2025,AT,1.9989455952002055
S_Battery_Li-Ion,2025,AT,9.161356294267987
S_Battery_Redox,2025,AT,0.0
S_Heat_HLR,2025,AT,0.0
S_Heat_HLI,2025,AT,0.0
S_CAES,2025,AT,0.0
S_Gas_Methane,2025,AT,0.0
S_PHS,2030,AT,0.0
S_Gas_H2,2030,AT,15.790912642006381
S_Battery_Li-Ion,2030,AT,5.614752318763807
S_Battery_Redox,2030,AT,0.0
S_Heat_HLR,2030,AT,0.0
S_Heat_HLI,2030,AT,0.0
S_CAES,2030,AT,0.0
S_Gas_Methane,2030,AT,0.0
S_PHS,2035,AT,0.0
S_Gas_H2,2035,AT,11.749835741562803
S_Battery_Li-Ion,2035,AT,6.753167750692331
S_Battery_Redox,2035,AT,0.0
S_Heat_HLR,2035,AT,0.0
S_Heat_HLI,2035,AT,0.0
S_CAES,2035,AT,0.0
S_Gas_Methane,2035,AT,0.0
S_PHS,2040,AT,0.0
S_Gas_H2,2040,AT,11.400349121365313
S_Battery_Li-Ion,2040,AT,4.282513271902274
S_Battery_Redox,2040,AT,0.0
S_Heat_HLR,2040,AT,0.0
S_Heat_HLI,2040,AT,0.0
S_CAES,2040,AT,0.0
S_Gas_Methane,2040,AT,0.0
S_PHS,2045,AT,0.0
S_Gas_H2,2045,AT,10.335051917625231
S_Battery_Li-Ion,2045,AT,2.7883770294351105
S_Battery_Redox,2045,AT,0.0
S_Heat_HLR,2045,AT,0.0
S_Heat_HLI,2045,AT,0.0
S_CAES,2045,AT,0.0
S_Gas_Methane,2045,AT,0.0
S_PHS,2050,AT,0.0
S_Gas_H2,2050,AT,9.943715465167148
S_Battery_Li-Ion,2050,AT,0.057138567966304295
S_Battery_Redox,2050,AT,0.0
S_Heat_HLR,2050,AT,0.09776525510423197
S_Heat_HLI,2050,AT,0.0
S_CAES,2050,AT,0.0
S_Gas_Methane,2050,AT,0.0
S_PHS,2018,BE,0.0
S_Gas_H2,2018,BE,0.0
S_Battery_Li-Ion,2018,BE,0.0
S_Battery_Redox,2018,BE,0.0
S_Heat_HLR,2018,BE,0.0
S_Heat_HLI,2018,BE,0.0
S_CAES,2018,BE,0.0
S_Gas_Methane,2018,BE,0.0
S_PHS,2025,BE,0.0
S_Gas_H2,2025,BE,0.0
S_Battery_Li-Ion,2025,BE,20.900891003634232
S_Battery_Redox,2025,BE,0.0
S_Heat_HLR,2025,BE,0.0
S_Heat_HLI,2025,BE,0.0
S_CAES,2025,BE,0.0
S_Gas_Methane,2025,BE,0.0
S_PHS,2030,BE,0.0
S_Gas_H2,2030,BE,2.650772529252956
S_Battery_Li-Ion,2030,BE,16.425168420801764
