x1,x2,x3,x4,x5,y
MT_PSNG_ROAD,8,AT,Mobility_Passenger,2018,11.170207322365943
MT_PSNG_RAIL,8,AT,Mobility_Passenger,2018,9.840358364235431
MT_PSNG_AIR,8,AT,Mobility_Passenger,2018,9.536671713444816
MT_PSNG_ROAD_RE,8,AT,Mobility_Passenger,2018,9.300734758821285
MT_PSNG_RAIL_RE,8,AT,Mobility_Passenger,2018,9.735954661466177
MT_PSNG_AIR_RE,8,AT,Mobility_Passenger,2018,9.300734758821285
MT_PSNG_ROAD_CONV,8,AT,Mobility_Passenger,2018,11.170207322365943
MT_PSNG_RAIL_CONV,8,AT,Mobility_Passenger,2018,9.40513846159054
MT_PSNG_AIR_CONV,8,AT,Mobility_Passenger,2018,9.536671713444816
MT_FRT_ROAD,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,8,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,8,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,1932,AT,Mobility_Passenger,2018,52.71137461497456
MT_PSNG_RAIL,1932,AT,Mobility_Passenger,2018,51.381525656844055
MT_PSNG_AIR,1932,AT,Mobility_Passenger,2018,51.07783900605344
MT_PSNG_ROAD_RE,1932,AT,Mobility_Passenger,2018,50.841902051429905
MT_PSNG_RAIL_RE,1932,AT,Mobility_Passenger,2018,51.2771219540748
MT_PSNG_AIR_RE,1932,AT,Mobility_Passenger,2018,50.841902051429905
MT_PSNG_ROAD_CONV,1932,AT,Mobility_Passenger,2018,52.71137461497456
MT_PSNG_RAIL_CONV,1932,AT,Mobility_Passenger,2018,50.94630575419916
MT_PSNG_AIR_CONV,1932,AT,Mobility_Passenger,2018,51.07783900605344
MT_FRT_ROAD,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,1932,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,1932,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,3856,AT,Mobility_Passenger,2018,30.927359245045178
MT_PSNG_RAIL,3856,AT,Mobility_Passenger,2018,29.597510286914666
MT_PSNG_AIR,3856,AT,Mobility_Passenger,2018,29.293823636124053
MT_PSNG_ROAD_RE,3856,AT,Mobility_Passenger,2018,29.05788668150052
MT_PSNG_RAIL_RE,3856,AT,Mobility_Passenger,2018,29.493106584145412
MT_PSNG_AIR_RE,3856,AT,Mobility_Passenger,2018,29.05788668150052
MT_PSNG_ROAD_CONV,3856,AT,Mobility_Passenger,2018,30.927359245045178
MT_PSNG_RAIL_CONV,3856,AT,Mobility_Passenger,2018,29.162290384269774
MT_PSNG_AIR_CONV,3856,AT,Mobility_Passenger,2018,29.293823636124053
MT_FRT_ROAD,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,3856,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,3856,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,5780,AT,Mobility_Passenger,2018,8.616966107778797
MT_PSNG_RAIL,5780,AT,Mobility_Passenger,2018,7.287117149648285
MT_PSNG_AIR,5780,AT,Mobility_Passenger,2018,6.98343049885767
MT_PSNG_ROAD_RE,5780,AT,Mobility_Passenger,2018,6.747493544234139
MT_PSNG_RAIL_RE,5780,AT,Mobility_Passenger,2018,7.182713446879031
MT_PSNG_AIR_RE,5780,AT,Mobility_Passenger,2018,6.747493544234139
MT_PSNG_ROAD_CONV,5780,AT,Mobility_Passenger,2018,8.616966107778797
MT_PSNG_RAIL_CONV,5780,AT,Mobility_Passenger,2018,6.851897247003393
MT_PSNG_AIR_CONV,5780,AT,Mobility_Passenger,2018,6.98343049885767
MT_FRT_ROAD,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,7704,AT,Mobility_Passenger,2018,1.8987861987129342
MT_PSNG_RAIL,7704,AT,Mobility_Passenger,2018,0.5689372405824232
MT_PSNG_AIR,7704,AT,Mobility_Passenger,2018,0.2652505897918075
MT_PSNG_ROAD_RE,7704,AT,Mobility_Passenger,2018,0.029313635168276453
MT_PSNG_RAIL_RE,7704,AT,Mobility_Passenger,2018,0.4645335378131691
