x1,x2,x3,y
S_PHS,2018,AT,0.0
S_Gas_H2,2018,AT,0.0
S_Battery_Li-Ion,2018,AT,0.0
S_Battery_Redox,2018,AT,0.0
S_Heat_HLR,2018,AT,0.0
S_Heat_HLI,2018,AT,0.0
S_CAES,2018,AT,0.0
S_Gas_Methane,2018,AT,0.0
S_PHS,2025,AT,0.0
S_Gas_H2,2025,AT,0.019597992241486985
S_Battery_Li-Ion,2025,AT,0.0898194478167274
S_Battery_Redox,2025,AT,0.0
S_Heat_HLR,2025,AT,0.0
S_Heat_HLI,2025,AT,0.0
S_CAES,2025,AT,0.0
S_Gas_Methane,2025,AT,0.0
S_PHS,2030,AT,0.0
S_Gas_H2,2030,AT,0.15574807604305224
S_Battery_Li-Ion,2030,AT,0.055379121582843346
S_Battery_Redox,2030,AT,0.0
S_Heat_HLR,2030,AT,0.0
S_Heat_HLI,2030,AT,0.0
S_CAES,2030,AT,0.0
S_Gas_Methane,2030,AT,0.0
S_PHS,2035,AT,0.0
S_Gas_H2,2035,AT,0.11643334223142764
S_Battery_Li-Ion,2035,AT,0.0669195645928254
S_Battery_Redox,2035,AT,0.0
S_Heat_HLR,2035,AT,0.0
S_Heat_HLI,2035,AT,0.0
S_CAES,2035,AT,0.0
S_Gas_Methane,2035,AT,0.0
S_PHS,2040,AT,0.0
S_Gas_H2,2040,AT,0.11338295185557967
S_Battery_Li-Ion,2040,AT,0.04259202862647289
S_Battery_Redox,2040,AT,0.0
S_Heat_HLR,2040,AT,0.0
S_Heat_HLI,2040,AT,0.0
S_CAES,2040,AT,0.0
S_Gas_Methane,2040,AT,0.0
S_PHS,2045,AT,0.0
S_Gas_H2,2045,AT,0.10308118030850308
S_Battery_Li-Ion,2045,AT,0.027811103188471818
S_Battery_Redox,2045,AT,0.0
S_Heat_HLR,2045,AT,0.0
S_Heat_HLI,2045,AT,0.0
S_CAES,2045,AT,0.0
S_Gas_Methane,2045,AT,0.0
S_PHS,2050,AT,0.0
S_Gas_H2,2050,AT,0.09939905649220057
S_Battery_Li-Ion,2050,AT,0.0005711667600567906
S_Battery_Redox,2050,AT,0.0
S_Heat_HLR,2050,AT,0.0009772779751312608
S_Heat_HLI,2050,AT,0.0
S_CAES,2050,AT,0.0
S_Gas_Methane,2050,AT,0.0
S_PHS,2018,BE,0.0
S_Gas_H2,2018,BE,0.0
S_Battery_Li-Ion,2018,BE,0.0
S_Battery_Redox,2018,BE,0.0
S_Heat_HLR,2018,BE,0.0
S_Heat_HLI,2018,BE,0.0
S_CAES,2018,BE,0.0
S_Gas_Methane,2018,BE,0.0
S_PHS,2025,BE,0.0
S_Gas_H2,2025,BE,0.0
S_Battery_Li-Ion,2025,BE,0.20491578195671878
S_Battery_Redox,2025,BE,0.0
S_Heat_HLR,2025,BE,0.0
S_Heat_HLI,2025,BE,0.0
S_CAES,2025,BE,0.0
S_Gas_Methane,2025,BE,0.0
S_PHS,2030,BE,0.0
S_Gas_H2,2030,BE,0.026144956331445236
