x1,x2,x3,x4,y
2018,A_Air,1,AT,0.0
2025,A_Air,1,AT,0.0
2030,A_Air,1,AT,0.0
2035,A_Air,1,AT,0.0
2040,A_Air,1,AT,0.0
2045,A_Air,1,AT,0.0
2050,A_Air,1,AT,0.0
2018,A_Rooftop_Commercial,1,AT,0.0
2025,A_Rooftop_Commercial,1,AT,0.0
2030,A_Rooftop_Commercial,1,AT,0.0
2035,A_Rooftop_Commercial,1,AT,0.0
2040,A_Rooftop_Commercial,1,AT,0.0
2045,A_Rooftop_Commercial,1,AT,0.0
2050,A_Rooftop_Commercial,1,AT,0.0
2018,A_Rooftop_Residential,1,AT,0.0
2025,A_Rooftop_Residential,1,AT,11.669888313456582
2030,A_Rooftop_Residential,1,AT,11.382452640711346
2035,A_Rooftop_Residential,1,AT,11.095016967966119
2040,A_Rooftop_Residential,1,AT,10.807581295220881
2045,A_Rooftop_Residential,1,AT,10.520145622475638
2050,A_Rooftop_Residential,1,AT,10.232709949730404
2018,CHP_Biomass_Solid,1,AT,0.0
2025,CHP_Biomass_Solid,1,AT,0.0
2030,CHP_Biomass_Solid,1,AT,0.0
2035,CHP_Biomass_Solid,1,AT,0.0
2040,CHP_Biomass_Solid,1,AT,0.0
2045,CHP_Biomass_Solid,1,AT,0.0
2050,CHP_Biomass_Solid,1,AT,0.0
2018,CHP_Biomass_Solid_CCS,1,AT,0.0
2025,CHP_Biomass_Solid_CCS,1,AT,0.0
2030,CHP_Biomass_Solid_CCS,1,AT,0.0
2035,CHP_Biomass_Solid_CCS,1,AT,0.0
2040,CHP_Biomass_Solid_CCS,1,AT,0.0
2045,CHP_Biomass_Solid_CCS,1,AT,0.0
2050,CHP_Biomass_Solid_CCS,1,AT,0.0
2018,CHP_Coal_Hardcoal,1,AT,0.0
2025,CHP_Coal_Hardcoal,1,AT,0.0
2030,CHP_Coal_Hardcoal,1,AT,0.0
2035,CHP_Coal_Hardcoal,1,AT,0.0
2040,CHP_Coal_Hardcoal,1,AT,0.0
2045,CHP_Coal_Hardcoal,1,AT,0.0
2050,CHP_Coal_Hardcoal,1,AT,0.0
2018,CHP_Coal_Hardcoal_CCS,1,AT,0.0
2025,CHP_Coal_Hardcoal_CCS,1,AT,0.0
2030,CHP_Coal_Hardcoal_CCS,1,AT,0.0
2035,CHP_Coal_Hardcoal_CCS,1,AT,0.0
2040,CHP_Coal_Hardcoal_CCS,1,AT,0.0
2045,CHP_Coal_Hardcoal_CCS,1,AT,0.0
2050,CHP_Coal_Hardcoal_CCS,1,AT,0.0
2018,CHP_Coal_Lignite,1,AT,0.0
2025,CHP_Coal_Lignite,1,AT,0.0
2030,CHP_Coal_Lignite,1,AT,0.0
2035,CHP_Coal_Lignite,1,AT,0.0
2040,CHP_Coal_Lignite,1,AT,0.0
2045,CHP_Coal_Lignite,1,AT,0.0
2050,CHP_Coal_Lignite,1,AT,0.0
2018,CHP_Coal_Lignite_CCS,1,AT,0.0
2025,CHP_Coal_Lignite_CCS,1,AT,0.0
2030,CHP_Coal_Lignite_CCS,1,AT,0.0
2035,CHP_Coal_Lignite_CCS,1,AT,0.0
2040,CHP_Coal_Lignite_CCS,1,AT,0.0
2045,CHP_Coal_Lignite_CCS,1,AT,0.0
2050,CHP_Coal_Lignite_CCS,1,AT,0.0
2018,CHP_Gas_CCGT_Biogas,1,AT,0.0
2025,CHP_Gas_CCGT_Biogas,1,AT,0.0
2030,CHP_Gas_CCGT_Biogas,1,AT,0.0
2035,CHP_Gas_CCGT_Biogas,1,AT,0.0
2040,CHP_Gas_CCGT_Biogas,1,AT,0.0
2045,CHP_Gas_CCGT_Biogas,1,AT,0.0
2050,CHP_Gas_CCGT_Biogas,1,AT,0.0
2018,CHP_Gas_CCGT_Biogas_CCS,1,AT,0.0
2025,CHP_Gas_CCGT_Biogas_CCS,1,AT,0.0
2030,CHP_Gas_CCGT_Biogas_CCS,1,AT,0.0
2035,CHP_Gas_CCGT_Biogas_CCS,1,AT,0.0
2040,CHP_Gas_CCGT_Biogas_CCS,1,AT,0.0
2045,CHP_Gas_CCGT_Biogas_CCS,1,AT,0.0
2050,CHP_Gas_CCGT_Biogas_CCS,1,AT,0.0
2018,CHP_Gas_CCGT_Natural,1,AT,0.0
2025,CHP_Gas_CCGT_Natural,1,AT,0.0
2030,CHP_Gas_CCGT_Natural,1,AT,0.0
2035,CHP_Gas_CCGT_Natural,1,AT,0.0
2040,CHP_Gas_CCGT_Natural,1,AT,0.0
2045,CHP_Gas_CCGT_Natural,1,AT,0.0
2050,CHP_Gas_CCGT_Natural,1,AT,0.0
2018,CHP_Gas_CCGT_Natural_CCS,1,AT,0.0
2025,CHP_Gas_CCGT_Natural_CCS,1,AT,0.0
2030,CHP_Gas_CCGT_Natural_CCS,1,AT,0.0
2035,CHP_Gas_CCGT_Natural_CCS,1,AT,0.0
2040,CHP_Gas_CCGT_Natural_CCS,1,AT,0.0
2045,CHP_Gas_CCGT_Natural_CCS,1,AT,0.0
2050,CHP_Gas_CCGT_Natural_CCS,1,AT,0.0
2018,CHP_Gas_CCGT_SynGas,1,AT,0.0
2025,CHP_Gas_CCGT_SynGas,1,AT,0.0
2030,CHP_Gas_CCGT_SynGas,1,AT,0.0
2035,CHP_Gas_CCGT_SynGas,1,AT,0.0
2040,CHP_Gas_CCGT_SynGas,1,AT,0.0
2045,CHP_Gas_CCGT_SynGas,1,AT,0.0
2050,CHP_Gas_CCGT_SynGas,1,AT,0.0
2018,CHP_Hydrogen_FuelCell,1,AT,0.0
2025,CHP_Hydrogen_FuelCell,1,AT,0.0
2030,CHP_Hydrogen_FuelCell,1,AT,0.0
2035,CHP_Hydrogen_FuelCell,1,AT,0.0
2040,CHP_Hydrogen_FuelCell,1,AT,0.0
2045,CHP_Hydrogen_FuelCell,1,AT,0.0
2050,CHP_Hydrogen_FuelCell,1,AT,0.0
2018,CHP_Oil,1,AT,0.0
2025,CHP_Oil,1,AT,0.0
2030,CHP_Oil,1,AT,0.0
2035,CHP_Oil,1,AT,0.0
2040,CHP_Oil,1,AT,0.0
2045,CHP_Oil,1,AT,0.0
2050,CHP_Oil,1,AT,0.0
2018,D_Battery_Li-Ion,1,AT,0.0
2025,D_Battery_Li-Ion,1,AT,19.287065882669445
2030,D_Battery_Li-Ion,1,AT,17.730796796096236
2035,D_Battery_Li-Ion,1,AT,28.434390529230864
2040,D_Battery_Li-Ion,1,AT,22.539543536327756
2045,D_Battery_Li-Ion,1,AT,17.61080229116912
2050,D_Battery_Li-Ion,1,AT,0.4210210271201369
2018,D_Battery_Redox,1,AT,0.0
2025,D_Battery_Redox,1,AT,0.0
2030,D_Battery_Redox,1,AT,0.0
2035,D_Battery_Redox,1,AT,0.0
2040,D_Battery_Redox,1,AT,0.0
2045,D_Battery_Redox,1,AT,0.0
2050,D_Battery_Redox,1,AT,0.0
2018,D_CAES,1,AT,0.0
2025,D_CAES,1,AT,0.0
2030,D_CAES,1,AT,0.0
2035,D_CAES,1,AT,0.0
2040,D_CAES,1,AT,0.0
2045,D_CAES,1,AT,0.0
2050,D_CAES,1,AT,0.0
2018,D_Gas_H2,1,AT,0.0
2025,D_Gas_H2,1,AT,4.038273929697385
2030,D_Gas_H2,1,AT,47.85125043032237
2035,D_Gas_H2,1,AT,47.47408380429415
2040,D_Gas_H2,1,AT,57.577520814976324
2045,D_Gas_H2,1,AT,62.63667828863776
2050,D_Gas_H2,1,AT,70.30909924865661
2018,D_Gas_Methane,1,AT,0.0
2025,D_Gas_Methane,1,AT,0.0
2030,D_Gas_Methane,1,AT,0.0
2035,D_Gas_Methane,1,AT,0.0
2040,D_Gas_Methane,1,AT,0.0
2045,D_Gas_Methane,1,AT,0.0
2050,D_Gas_Methane,1,AT,0.0
2018,D_Heat_HLI,1,AT,0.0
2025,D_Heat_HLI,1,AT,0.0
2030,D_Heat_HLI,1,AT,0.0
2035,D_Heat_HLI,1,AT,0.0
2040,D_Heat_HLI,1,AT,0.0
2045,D_Heat_HLI,1,AT,0.0
2050,D_Heat_HLI,1,AT,0.0
2018,D_Heat_HLR,1,AT,0.0
2025,D_Heat_HLR,1,AT,0.0
2030,D_Heat_HLR,1,AT,0.0
2035,D_Heat_HLR,1,AT,0.0
2040,D_Heat_HLR,1,AT,0.0
2045,D_Heat_HLR,1,AT,0.0
2050,D_Heat_HLR,1,AT,0.6843567857296238
2018,D_PHS,1,AT,0.0
2025,D_PHS,1,AT,0.0
2030,D_PHS,1,AT,0.0
2035,D_PHS,1,AT,0.0
2040,D_PHS,1,AT,0.0
2045,D_PHS,1,AT,0.0
2050,D_PHS,1,AT,0.0
2018,FRT_Rail_Conv,1,AT,0.915004324937177
2025,FRT_Rail_Conv,1,AT,0.0
2030,FRT_Rail_Conv,1,AT,0.0
2035,FRT_Rail_Conv,1,AT,0.0
2040,FRT_Rail_Conv,1,AT,0.0
2045,FRT_Rail_Conv,1,AT,0.0
2050,FRT_Rail_Conv,1,AT,0.0
2018,FRT_Rail_Electric,1,AT,2.3383443859505624
2025,FRT_Rail_Electric,1,AT,2.7521906754049272
2030,FRT_Rail_Electric,1,AT,2.8600493518855763
2035,FRT_Rail_Electric,1,AT,2.968986615131035
2040,FRT_Rail_Electric,1,AT,3.675184413078712
2045,FRT_Rail_Electric,1,AT,4.924257115518444
2050,FRT_Rail_Electric,1,AT,5.367934588028803
2018,FRT_Road_BEV,1,AT,0.0
2025,FRT_Road_BEV,1,AT,0.0
2030,FRT_Road_BEV,1,AT,0.0
2035,FRT_Road_BEV,1,AT,0.0
2040,FRT_Road_BEV,1,AT,0.0
2045,FRT_Road_BEV,1,AT,0.0
2050,FRT_Road_BEV,1,AT,0.0
2018,FRT_Road_H2,1,AT,0.0
2025,FRT_Road_H2,1,AT,0.0
2030,FRT_Road_H2,1,AT,0.0
2035,FRT_Road_H2,1,AT,0.0
2040,FRT_Road_H2,1,AT,0.0
2045,FRT_Road_H2,1,AT,0.0
2050,FRT_Road_H2,1,AT,0.0
2018,FRT_Road_ICE,1,AT,6.710031716205966
2025,FRT_Road_ICE,1,AT,1.0354432942142413
2030,FRT_Road_ICE,1,AT,0.6536235794727397
2035,FRT_Road_ICE,1,AT,0.06601598152674673
2040,FRT_Road_ICE,1,AT,0.0
2045,FRT_Road_ICE,1,AT,0.0
2050,FRT_Road_ICE,1,AT,0.0
2018,FRT_Road_LNG,1,AT,0.0
2025,FRT_Road_LNG,1,AT,0.0
2030,FRT_Road_LNG,1,AT,0.0
2035,FRT_Road_LNG,1,AT,0.0
2040,FRT_Road_LNG,1,AT,0.0
2045,FRT_Road_LNG,1,AT,0.0
2050,FRT_Road_LNG,1,AT,0.0
2018,FRT_Road_OH,1,AT,0.0
2025,FRT_Road_OH,1,AT,0.19292357855564546
2030,FRT_Road_OH,1,AT,0.1929235785556455
2035,FRT_Road_OH,1,AT,0.19292357855564546
2040,FRT_Road_OH,1,AT,6.370619701993015
2045,FRT_Road_OH,1,AT,6.282191017030802
2050,FRT_Road_OH,1,AT,6.282191017030803
2018,FRT_Road_PHEV,1,AT,0.0
2025,FRT_Road_PHEV,1,AT,0.0
2030,FRT_Road_PHEV,1,AT,0.0
2035,FRT_Road_PHEV,1,AT,0.0
2040,FRT_Road_PHEV,1,AT,0.0
2045,FRT_Road_PHEV,1,AT,0.0
2050,FRT_Road_PHEV,1,AT,0.0
2018,FRT_Ship_Bio,1,AT,0.0
2025,FRT_Ship_Bio,1,AT,0.012383058530816525
2030,FRT_Ship_Bio,1,AT,0.012383058530816525
2035,FRT_Ship_Bio,1,AT,0.012383058530816525
2040,FRT_Ship_Bio,1,AT,0.012383058530816525
2045,FRT_Ship_Bio,1,AT,0.012383058530816523
