x1,x2,y
2018,AT,1.284113819743311e6
2025,AT,690636.3249504145
2030,AT,528985.7116947828
2035,AT,411115.7650304065
2040,AT,321779.02478874155
2045,AT,253056.30558863987
2050,AT,42507.69311104288
2018,BE,1.4010586026993738e6
2025,BE,750214.8810550268
2030,BE,567589.493853228
2035,BE,442086.14448933076
2040,BE,345804.7936319962
2045,BE,270728.1771003514
2050,BE,45443.46355720438
2018,BG,614961.7749638299
2025,BG,327394.47931743
2030,BG,248738.195689908
2035,BG,191677.81966994223
2040,BG,149696.47303357266
2045,BG,116995.97249921826
2050,BG,19530.178981009554
2018,CH,1.0759423241270767e6
2025,CH,586865.6189059246
2030,CH,434452.33124470065
2035,CH,337257.4739442656
2040,CH,262844.9816040244
2045,CH,205362.8390557305
2050,CH,34302.61303843772
2018,CZ,1.2280088331843591e6
2025,CZ,671565.6619168933
2030,CZ,501122.9932060782
2035,CZ,390560.66904943046
2040,CZ,304351.29504216416
2045,CZ,238737.03339511485
2050,CZ,40084.7314443271
2018,DE,1.1944622417933472e7
2025,DE,6.429184998005723e6
2030,DE,4.870116418093329e6
2035,DE,3.794773603222662e6
2040,DE,2.9734733877989226e6
2045,DE,2.3319924674739293e6
2050,DE,392264.1846698018
2018,DK,673723.3153970237
2025,DK,349337.0901583464
2030,DK,268578.1052484428
2035,DK,209183.46351779578
2040,DK,163246.53622491204
2045,DK,127252.03300224777
2050,DK,21223.420640405508
2018,EE,153198.34826131442
2025,EE,82630.60726603707
2030,EE,61207.35243340646
2035,EE,47534.816648706976
2040,EE,37126.95959256898
2045,EE,29045.08382066616
2050,EE,4859.245991699934
2018,ES,4.32424795388952e6
2025,ES,2.318162958906334e6
2030,ES,1.765430447616976e6
2035,ES,1.379040978280568e6
2040,ES,1.074973457399734e6
2045,ES,842924.9391816782
2050,ES,141496.20798132848
2018,FI,819654.4918385134
2025,FI,453474.6909253384
2030,FI,332219.76176176703
2035,FI,257906.01422863491
2040,FI,201364.38439702312
2045,FI,157706.73819078135
2050,FI,26597.26754559866
2018,FR,8.515793553642113e6
2025,FR,4.504717356860116e6
2030,FR,3.4319919433848835e6
2035,FR,2.6744319118915508e6
2040,FR,2.09225907817136e6
2045,FR,1.636493087120324e6
2050,FR,273540.94803452544
2018,GR,987100.2822768576
2025,GR,531679.129442361
2030,GR,408591.5482322486
2035,GR,307946.2043396404
2040,GR,239954.2769912942
2045,GR,186984.83173539912
2050,GR,31130.16588057817
2018,HR,310783.17907707655
2025,HR,189575.10218244433
2030,HR,129520.81975010748
2035,HR,100753.4141830271
2040,HR,78959.43318368867
2045,HR,61886.41798178601
2050,HR,10461.50244529232
2018,HU,922368.4986348696
2025,HU,497966.34157905745
2030,HU,376182.1125018368
2035,HU,290280.2624455836
2040,HU,227132.9613439146
2045,HU,178016.38851007086
2050,HU,29818.481338502283
2018,IE,550160.2634756363
2025,IE,290288.7160960495
2030,IE,219393.10909212322
2035,IE,170287.93052695272
2040,IE,132366.86321706657
2045,IE,102737.8007272106
2050,IE,17102.14698821957
2018,IT,7.221745586034395e6
2025,IT,3.778581702519828e6
2030,IT,2.884953426602757e6
2035,IT,2.235978543612926e6
2040,IT,1.7403669485810392e6
2045,IT,1.3558506396200093e6
2050,IT,225584.94430508456
2018,LT,398316.05858299823
2025,LT,221372.40698577423
2030,LT,170932.54987540736
2035,LT,129288.51889372939
2040,LT,101296.52602612958
2045,LT,79756.32615194474
2050,LT,13433.067407179462
2018,LU,84655.05453713817
2025,LU,46717.12484473088
2030,LU,34231.68202410417
2035,LU,26469.360990235007
2040,LU,20644.22312490563
2045,LU,16160.536864049722
2050,LU,2697.979474035884
2018,LV,294931.28329180036
2025,LV,160889.67954093276
2030,LV,126871.51973479366
2035,LV,96464.99004865819
2040,LV,76044.90809133192
2045,LV,60149.15965434787
2050,LV,10153.67194095758
2018,NL,1.9653557112473426e6
2025,NL,1.1031422029891482e6
2030,NL,812695.7414906559
2035,NL,629314.4483982166
2040,NL,489085.931279931
2045,NL,383436.1806211826
2050,NL,64315.68831825804
2018,NO,733662.6529813247
2025,NO,392792.4166831059
2030,NO,294334.60740944184
2035,NO,229069.58126962505
2040,NO,179042.72444055424
2045,NO,140257.2715303459
2050,NO,23515.22504917912
2018,PL,3.5633331375702843e6
2025,PL,1.941453540066475e6
2030,PL,1.4689822646705725e6
2035,PL,1.1514911877980032e6
2040,PL,896635.6803737427
2045,PL,705119.0541541945
2050,PL,118361.04590545408
2018,PT,872563.6107281352
2025,PT,475912.3544553183
2030,PT,348927.177983578
2035,PT,271331.23603780416
2040,PT,211094.79597940715
2045,PT,164480.47204219954
2050,PT,27408.046619956458
2018,RO,1.2615990910945968e6
2025,RO,689987.4145378286
2030,RO,521593.4654386009
2035,RO,396141.5028593904
2040,RO,309662.831514327
2045,RO,242304.87103101975
2050,RO,40477.505751935794
2018,SE,1.499511760979364e6
2025,SE,806511.6034152948
2030,SE,605844.8789591588
2035,SE,471678.3582369579
2040,SE,369423.7153276644
2045,SE,289777.2636244422
2050,SE,48685.15561195153
2018,SI,314724.39285844105
2025,SI,176335.23505327737
2030,SI,129185.75283396186
2035,SI,100284.71253604112
2040,SI,78521.97237450686
2045,SI,61546.56029322839
2050,SI,10328.661886694748
2018,SK,485061.21070372144
2025,SK,285313.5857218463
2030,SK,204098.76241675258
2035,SK,155484.70831858416
2040,SK,122132.73146583996
2045,SK,95888.9702723218
2050,SK,16199.395787523652
2018,TR,6.70664441396769e6
2025,TR,3.689869613290471e6
2030,TR,2.6803741868799445e6
2035,TR,2.0850605708069839e6
2040,TR,1.627164670365147e6
2045,TR,1.269481461841223e6
2050,TR,213715.5636753068
2018,UK,3.85205918801855e6
2025,UK,2.0925419318696377e6
2030,UK,1.5860120778397485e6
2035,UK,1.2330210745713897e6
2040,UK,955764.9874593323
2045,UK,751077.11779534
2050,UK,126683.35824335006
2018,NONEU_Balkan,729921.2006365815
2025,NONEU_Balkan,448011.28762215545
2030,NONEU_Balkan,320218.54018473474
2035,NONEU_Balkan,241909.83288767192
2040,NONEU_Balkan,190459.67726099372
2045,NONEU_Balkan,150384.46050490375
2050,NONEU_Balkan,25707.26990591869
