x1;x2;x3;y;;x1;x2;x3;y;diff;
2018;A_Air;AT;0;;2018;A_Air;AT;0;0;#DIV/0!
2025;A_Air;AT;0;;2025;A_Air;AT;0;0;#DIV/0!
2030;A_Air;AT;0;;2030;A_Air;AT;0;0;#DIV/0!
2035;A_Air;AT;0;;2035;A_Air;AT;0;0;#DIV/0!
2040;A_Air;AT;0;;2040;A_Air;AT;0;0;#DIV/0!
2045;A_Air;AT;0;;2045;A_Air;AT;0;0;#DIV/0!
2050;A_Air;AT;0;;2050;A_Air;AT;0;0;#DIV/0!
2018;A_Rooftop_Commercial;AT;0;;2018;A_Rooftop_Commercial;AT;0;0;#DIV/0!
2025;A_Rooftop_Commercial;AT;0;;2025;A_Rooftop_Commercial;AT;0;0;#DIV/0!
2030;A_Rooftop_Commercial;AT;0;;2030;A_Rooftop_Commercial;AT;0;0;#DIV/0!
2035;A_Rooftop_Commercial;AT;0;;2035;A_Rooftop_Commercial;AT;0;0;#DIV/0!
2040;A_Rooftop_Commercial;AT;0;;2040;A_Rooftop_Commercial;AT;0;0;#DIV/0!
2045;A_Rooftop_Commercial;AT;0;;2045;A_Rooftop_Commercial;AT;0;0;#DIV/0!
2050;A_Rooftop_Commercial;AT;0;;2050;A_Rooftop_Commercial;AT;0;0;#DIV/0!
2018;A_Rooftop_Residential;AT;0;;2018;A_Rooftop_Residential;AT;0;0;#DIV/0!
2025;A_Rooftop_Residential;AT;13,62241775;;2025;A_Rooftop_Residential;AT;11,66988831;1,952529433;14%
2030;A_Rooftop_Residential;AT;13,28689022;;2030;A_Rooftop_Residential;AT;11,38245264;1,904437575;14%
2035;A_Rooftop_Residential;AT;12,95136268;;2035;A_Rooftop_Residential;AT;11,09501697;1,856345717;14%
2040;A_Rooftop_Residential;AT;12,38826209;;2040;A_Rooftop_Residential;AT;10,8075813;1,58068079;13%
2045;A_Rooftop_Residential;AT;11,94946316;;2045;A_Rooftop_Residential;AT;10,52014562;1,42931754;12%
2050;A_Rooftop_Residential;AT;11,47873168;;2050;A_Rooftop_Residential;AT;10,23270995;1,246021734;11%
2018;CHP_Biomass_Solid;AT;68,53726985;;2018;CHP_Biomass_Solid;AT;72,50033929;-3,963069449;-6%
2025;CHP_Biomass_Solid;AT;46,76790543;;2025;CHP_Biomass_Solid;AT;45,21450374;1,553401689;3%
2030;CHP_Biomass_Solid;AT;21,13788914;;2030;CHP_Biomass_Solid;AT;18,20286489;2,935024253;14%
2035;CHP_Biomass_Solid;AT;17,67532794;;2035;CHP_Biomass_Solid;AT;9,456455388;8,218872552;46%
2040;CHP_Biomass_Solid;AT;10,56894457;;2040;CHP_Biomass_Solid;AT;9,101432444;1,467512126;14%
2045;CHP_Biomass_Solid;AT;10,47435491;;2045;CHP_Biomass_Solid;AT;9,101432444;1,372922468;13%
2050;CHP_Biomass_Solid;AT;10,56894457;;2050;CHP_Biomass_Solid;AT;9,101432444;1,467512126;14%
2018;CHP_Biomass_Solid_CCS;AT;0;;2018;CHP_Biomass_Solid_CCS;AT;0;0;#DIV/0!
2025;CHP_Biomass_Solid_CCS;AT;0;;2025;CHP_Biomass_Solid_CCS;AT;0;0;#DIV/0!
2030;CHP_Biomass_Solid_CCS;AT;0;;2030;CHP_Biomass_Solid_CCS;AT;0;0;#DIV/0!
2035;CHP_Biomass_Solid_CCS;AT;0;;2035;CHP_Biomass_Solid_CCS;AT;0;0;#DIV/0!
2040;CHP_Biomass_Solid_CCS;AT;0;;2040;CHP_Biomass_Solid_CCS;AT;0;0;#DIV/0!
2045;CHP_Biomass_Solid_CCS;AT;0;;2045;CHP_Biomass_Solid_CCS;AT;0;0;#DIV/0!
2050;CHP_Biomass_Solid_CCS;AT;0;;2050;CHP_Biomass_Solid_CCS;AT;0;0;#DIV/0!
2018;CHP_Coal_Hardcoal;AT;0;;2018;CHP_Coal_Hardcoal;AT;0;0;#DIV/0!
2025;CHP_Coal_Hardcoal;AT;0;;2025;CHP_Coal_Hardcoal;AT;0;0;#DIV/0!
2030;CHP_Coal_Hardcoal;AT;0;;2030;CHP_Coal_Hardcoal;AT;0;0;#DIV/0!
2035;CHP_Coal_Hardcoal;AT;0;;2035;CHP_Coal_Hardcoal;AT;0;0;#DIV/0!
2040;CHP_Coal_Hardcoal;AT;0;;2040;CHP_Coal_Hardcoal;AT;0;0;#DIV/0!
2045;CHP_Coal_Hardcoal;AT;0;;2045;CHP_Coal_Hardcoal;AT;0;0;#DIV/0!
2050;CHP_Coal_Hardcoal;AT;0;;2050;CHP_Coal_Hardcoal;AT;0;0;#DIV/0!
2018;CHP_Coal_Hardcoal_CCS;AT;0;;2018;CHP_Coal_Hardcoal_CCS;AT;0;0;#DIV/0!
2025;CHP_Coal_Hardcoal_CCS;AT;0;;2025;CHP_Coal_Hardcoal_CCS;AT;0;0;#DIV/0!
2030;CHP_Coal_Hardcoal_CCS;AT;0;;2030;CHP_Coal_Hardcoal_CCS;AT;0;0;#DIV/0!
