x1,x2,x3,y
2018,A_Air,AT,0.0
2025,A_Air,AT,0.0
2030,A_Air,AT,0.0
2035,A_Air,AT,0.0
2040,A_Air,AT,0.0
2045,A_Air,AT,0.0
2050,A_Air,AT,0.0
2018,A_Rooftop_Commercial,AT,0.0
2025,A_Rooftop_Commercial,AT,0.0
2030,A_Rooftop_Commercial,AT,0.0
2035,A_Rooftop_Commercial,AT,0.0
2040,A_Rooftop_Commercial,AT,0.0
2045,A_Rooftop_Commercial,AT,0.0
2050,A_Rooftop_Commercial,AT,0.0
2018,A_Rooftop_Residential,AT,0.0
2025,A_Rooftop_Residential,AT,11.669888313456582
2030,A_Rooftop_Residential,AT,11.382452640711346
2035,A_Rooftop_Residential,AT,11.095016967966119
2040,A_Rooftop_Residential,AT,10.807581295220881
2045,A_Rooftop_Residential,AT,10.520145622475638
2050,A_Rooftop_Residential,AT,10.232709949730404
2018,CHP_Biomass_Solid,AT,72.50033929447113
2025,CHP_Biomass_Solid,AT,45.21450374246255
2030,CHP_Biomass_Solid,AT,18.202864888355204
2035,CHP_Biomass_Solid,AT,9.456455388469259
2040,CHP_Biomass_Solid,AT,9.101432444177602
2045,CHP_Biomass_Solid,AT,9.101432444177602
2050,CHP_Biomass_Solid,AT,9.101432444177602
2018,CHP_Biomass_Solid_CCS,AT,0.0
2025,CHP_Biomass_Solid_CCS,AT,0.0
2030,CHP_Biomass_Solid_CCS,AT,0.0
2035,CHP_Biomass_Solid_CCS,AT,0.0
2040,CHP_Biomass_Solid_CCS,AT,0.0
2045,CHP_Biomass_Solid_CCS,AT,0.0
2050,CHP_Biomass_Solid_CCS,AT,0.0
2018,CHP_Coal_Hardcoal,AT,0.0
2025,CHP_Coal_Hardcoal,AT,0.0
2030,CHP_Coal_Hardcoal,AT,0.0
2035,CHP_Coal_Hardcoal,AT,0.0
2040,CHP_Coal_Hardcoal,AT,0.0
2045,CHP_Coal_Hardcoal,AT,0.0
2050,CHP_Coal_Hardcoal,AT,0.0
2018,CHP_Coal_Hardcoal_CCS,AT,0.0
2025,CHP_Coal_Hardcoal_CCS,AT,0.0
2030,CHP_Coal_Hardcoal_CCS,AT,0.0
2035,CHP_Coal_Hardcoal_CCS,AT,0.0
2040,CHP_Coal_Hardcoal_CCS,AT,0.0
2045,CHP_Coal_Hardcoal_CCS,AT,0.0
2050,CHP_Coal_Hardcoal_CCS,AT,0.0
2018,CHP_Coal_Lignite,AT,0.0
2025,CHP_Coal_Lignite,AT,0.0
2030,CHP_Coal_Lignite,AT,0.0
2035,CHP_Coal_Lignite,AT,0.0
2040,CHP_Coal_Lignite,AT,0.0
2045,CHP_Coal_Lignite,AT,0.0
2050,CHP_Coal_Lignite,AT,0.0
2018,CHP_Coal_Lignite_CCS,AT,0.0
2025,CHP_Coal_Lignite_CCS,AT,0.0
2030,CHP_Coal_Lignite_CCS,AT,0.0
2035,CHP_Coal_Lignite_CCS,AT,0.0
2040,CHP_Coal_Lignite_CCS,AT,0.0
2045,CHP_Coal_Lignite_CCS,AT,0.0
2050,CHP_Coal_Lignite_CCS,AT,0.0
2018,CHP_Gas_CCGT_Biogas,AT,0.0
2025,CHP_Gas_CCGT_Biogas,AT,0.0
2030,CHP_Gas_CCGT_Biogas,AT,0.0
2035,CHP_Gas_CCGT_Biogas,AT,0.0
2040,CHP_Gas_CCGT_Biogas,AT,0.0
2045,CHP_Gas_CCGT_Biogas,AT,0.0
2050,CHP_Gas_CCGT_Biogas,AT,0.0
2018,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2025,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2030,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2035,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2040,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2045,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2050,CHP_Gas_CCGT_Biogas_CCS,AT,0.0
2018,CHP_Gas_CCGT_Natural,AT,27.263936039710877
2025,CHP_Gas_CCGT_Natural,AT,4.774452671884134
2030,CHP_Gas_CCGT_Natural,AT,0.0
2035,CHP_Gas_CCGT_Natural,AT,0.0
2040,CHP_Gas_CCGT_Natural,AT,0.0
2045,CHP_Gas_CCGT_Natural,AT,0.0
2050,CHP_Gas_CCGT_Natural,AT,0.0
2018,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2025,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2030,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2035,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2040,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2045,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2050,CHP_Gas_CCGT_Natural_CCS,AT,0.0
2018,CHP_Gas_CCGT_SynGas,AT,0.0
2025,CHP_Gas_CCGT_SynGas,AT,0.0
2030,CHP_Gas_CCGT_SynGas,AT,2.2056781068914058
2035,CHP_Gas_CCGT_SynGas,AT,2.2056781068914058
2040,CHP_Gas_CCGT_SynGas,AT,2.5651964430857443
2045,CHP_Gas_CCGT_SynGas,AT,2.626649233535211
2050,CHP_Gas_CCGT_SynGas,AT,2.362639004457773
2018,CHP_Hydrogen_FuelCell,AT,0.0
2025,CHP_Hydrogen_FuelCell,AT,0.0
2030,CHP_Hydrogen_FuelCell,AT,9.774277609073703
2035,CHP_Hydrogen_FuelCell,AT,14.661416413610556
2040,CHP_Hydrogen_FuelCell,AT,9.774277609073703
2045,CHP_Hydrogen_FuelCell,AT,9.774277609073703
2050,CHP_Hydrogen_FuelCell,AT,9.774277609073703
2018,CHP_Oil,AT,0.0
