x1,x2,y
A_Air,AT,0.0
A_Rooftop_Commercial,AT,0.0
A_Rooftop_Residential,AT,287.60813414888327
CHP_Biomass_Solid,AT,971.9872520436866
CHP_Biomass_Solid_CCS,AT,0.0
CHP_Coal_Hardcoal,AT,0.0
CHP_Coal_Hardcoal_CCS,AT,0.0
CHP_Coal_Lignite,AT,0.0
CHP_Coal_Lignite_CCS,AT,0.0
CHP_Gas_CCGT_Biogas,AT,0.0
CHP_Gas_CCGT_Biogas_CCS,AT,0.0
CHP_Gas_CCGT_Natural,AT,214.71981563739683
CHP_Gas_CCGT_Natural_CCS,AT,0.0
CHP_Gas_CCGT_SynGas,AT,50.37864845647661
CHP_Hydrogen_FuelCell,AT,229.69552381323206
CHP_Oil,AT,0.0
D_Battery_Li-Ion,AT,476.91169962464005
D_Battery_Redox,AT,0.0
D_CAES,AT,0.0
D_Gas_H2,AT,1144.9509926900896
D_Gas_Methane,AT,0.0
D_Heat_HLI,AT,0.0
D_Heat_HLR,AT,0.6843567857296238
D_PHS,AT,0.0
FRT_Rail_Conv,AT,24.70511677330378
FRT_Rail_Electric,AT,107.6396861447762
FRT_Road_BEV,AT,0.0
FRT_Road_H2,AT,0.0
FRT_Road_ICE,AT,147.62069775653123
FRT_Road_LNG,AT,0.0
FRT_Road_OH,AT,72.44009829048454
FRT_Road_PHEV,AT,0.0
FRT_Ship_Bio,AT,0.4272544996851566
FRT_Ship_Conv,AT,6.506697421775481
FRT_Ship_LNG,AT,0.0
HLI_Convert_DH,AT,143.8176673752769
HLR_Convert_DH,AT,790.7842227031053
HHI_BF_BOF,AT,399.2313530712304
HHI_BF_BOF_CCS,AT,0.0
HHI_Bio_BF_BOF,AT,0.0
HHI_DRI_EAF,AT,16.461324429621648
HHI_DRI_EAF_CCS,AT,0.0
HHI_H2DRI_EAF,AT,0.0
HHI_Molten_Electrolysis,AT,0.0
HHI_Scrap_EAF,AT,995.0951798342863
HLI_Biomass,AT,20.58763255164843
HLI_Direct_Electric,AT,30.70984864638394
HLI_Fuelcell,AT,0.0
HLI_Gas_Boiler,AT,28.34413215271442
HLI_Geothermal,AT,0.0
HLI_H2_Boiler,AT,30.54947406667957
HLI_Hardcoal,AT,4.7853735552000005
HLI_Lignite,AT,0.0
HLI_Oil_Boiler,AT,0.0
HLI_Solar_Thermal,AT,0.0
HLR_Biomass,AT,403.21590086103504
HLR_Direct_Electric,AT,2850.745144393185
HLR_Gas_Boiler,AT,1447.2880342912492
HLR_Geothermal,AT,0.0
HLR_H2_Boiler,AT,60.80569105220591
HLR_Hardcoal,AT,3.3575496192000003
HLR_Heatpump_Aerial,AT,1155.1712911390405
HLR_Heatpump_Ground,AT,27.660077207596867
HLR_Lignite,AT,0.0
HLR_Oil_Boiler,AT,0.0
HLR_Solar_Thermal,AT,1892.8218648546886
HMI_Biomass,AT,241.36486437913027
HMI_H2,AT,0.0
HMI_Gas,AT,1069.3438087950253
HMI_Gas_CCS,AT,0.0
HMI_HardCoal,AT,28.318508064
HMI_HardCoal_CCS,AT,0.0
HMI_Oil,AT,0.0
HMI_Steam_Electric,AT,479.4115232994421
P_Biomass,AT,45.15007120643121
P_Biomass_CCS,AT,0.0
P_Coal_Hardcoal,AT,70.47953554360322
P_Coal_Hardcoal_CCS,AT,0.0
P_Coal_Lignite,AT,0.0
P_Coal_Lignite_CCS,AT,0.0
P_Gas_CCGT,AT,68.71442192024574
P_Gas_Engines,AT,0.0
P_Gas_OCGT,AT,0.0
P_Gas_CCS,AT,0.0
P_H2_OCGT,AT,0.0
P_Nuclear,AT,0.0
P_Oil,AT,0.0
PSNG_Air_Bio,AT,0.0
PSNG_Air_Conv,AT,22.14950737687736
PSNG_Air_H2,AT,14.664063637140547
