x1,x2,x3,y
2018,CO2,AT,0.0
2025,CO2,AT,0.0
2030,CO2,AT,0.0
2035,CO2,AT,0.0
2040,CO2,AT,0.0
2045,CO2,AT,0.0
2050,CO2,AT,0.0
2018,CO2,BE,0.0
2025,CO2,BE,0.0
2030,CO2,BE,0.0
2035,CO2,BE,0.0
2040,CO2,BE,0.0
2045,CO2,BE,0.0
2050,CO2,BE,0.0
2018,CO2,BG,0.0
2025,CO2,BG,0.0
2030,CO2,BG,0.0
2035,CO2,BG,0.0
2040,CO2,BG,0.0
2045,CO2,BG,0.0
2050,CO2,BG,0.0
2018,CO2,CH,0.0
2025,CO2,CH,0.0
2030,CO2,CH,0.0
2035,CO2,CH,0.0
2040,CO2,CH,0.0
2045,CO2,CH,0.0
2050,CO2,CH,0.0
2018,CO2,CZ,0.0
2025,CO2,CZ,0.0
2030,CO2,CZ,0.0
2035,CO2,CZ,0.0
2040,CO2,CZ,0.0
2045,CO2,CZ,0.0
2050,CO2,CZ,0.0
2018,CO2,DE,0.0
2025,CO2,DE,0.0
2030,CO2,DE,0.0
2035,CO2,DE,0.0
2040,CO2,DE,0.0
2045,CO2,DE,0.0
2050,CO2,DE,0.0
2018,CO2,DK,0.0
2025,CO2,DK,0.0
2030,CO2,DK,0.0
2035,CO2,DK,0.0
2040,CO2,DK,0.0
2045,CO2,DK,0.0
2050,CO2,DK,0.0
2018,CO2,EE,0.0
2025,CO2,EE,0.0
2030,CO2,EE,0.0
2035,CO2,EE,0.0
2040,CO2,EE,0.0
2045,CO2,EE,0.0
2050,CO2,EE,0.0
2018,CO2,ES,0.0
2025,CO2,ES,0.0
2030,CO2,ES,0.0
2035,CO2,ES,0.0
2040,CO2,ES,0.0
2045,CO2,ES,0.0
2050,CO2,ES,0.0
2018,CO2,FI,0.0
2025,CO2,FI,0.0
2030,CO2,FI,0.0
2035,CO2,FI,0.0
2040,CO2,FI,0.0
2045,CO2,FI,0.0
2050,CO2,FI,0.0
2018,CO2,FR,0.0
2025,CO2,FR,0.0
2030,CO2,FR,0.0
2035,CO2,FR,0.0
2040,CO2,FR,0.0
2045,CO2,FR,0.0
2050,CO2,FR,0.0
2018,CO2,GR,0.0
2025,CO2,GR,0.0
2030,CO2,GR,0.0
2035,CO2,GR,0.0
2040,CO2,GR,0.0
2045,CO2,GR,0.0
2050,CO2,GR,0.0
2018,CO2,HR,0.0
2025,CO2,HR,0.0
2030,CO2,HR,0.0
2035,CO2,HR,0.0
2040,CO2,HR,0.0
2045,CO2,HR,0.0
2050,CO2,HR,0.0
2018,CO2,HU,0.0
2025,CO2,HU,0.0
2030,CO2,HU,0.0
2035,CO2,HU,0.0
2040,CO2,HU,0.0
2045,CO2,HU,0.0
2050,CO2,HU,0.0
2018,CO2,IE,0.0
2025,CO2,IE,0.0
2030,CO2,IE,0.0
2035,CO2,IE,0.0
2040,CO2,IE,0.0
2045,CO2,IE,0.0
2050,CO2,IE,0.0
2018,CO2,IT,0.0
2025,CO2,IT,0.0
2030,CO2,IT,0.0
2035,CO2,IT,0.0
2040,CO2,IT,0.0
2045,CO2,IT,0.0
2050,CO2,IT,0.0
2018,CO2,LT,0.0
2025,CO2,LT,0.0
2030,CO2,LT,0.0
2035,CO2,LT,0.0
2040,CO2,LT,0.0
2045,CO2,LT,0.0
2050,CO2,LT,0.0
2018,CO2,LU,0.0
2025,CO2,LU,0.0
2030,CO2,LU,0.0
2035,CO2,LU,0.0
2040,CO2,LU,0.0
2045,CO2,LU,0.0
2050,CO2,LU,0.0
2018,CO2,LV,0.0
2025,CO2,LV,0.0
2030,CO2,LV,0.0
2035,CO2,LV,0.0
2040,CO2,LV,0.0
2045,CO2,LV,0.0
2050,CO2,LV,0.0
2018,CO2,NL,0.0
2025,CO2,NL,0.0
2030,CO2,NL,0.0
2035,CO2,NL,0.0
2040,CO2,NL,0.0
2045,CO2,NL,0.0
2050,CO2,NL,0.0
2018,CO2,NO,0.0
2025,CO2,NO,0.0
2030,CO2,NO,0.0
2035,CO2,NO,0.0
2040,CO2,NO,0.0
2045,CO2,NO,0.0
2050,CO2,NO,0.0
2018,CO2,PL,0.0
2025,CO2,PL,0.0
2030,CO2,PL,0.0
2035,CO2,PL,0.0
2040,CO2,PL,0.0
2045,CO2,PL,0.0
2050,CO2,PL,0.0
2018,CO2,PT,0.0
2025,CO2,PT,0.0
2030,CO2,PT,0.0
2035,CO2,PT,0.0
2040,CO2,PT,0.0
2045,CO2,PT,0.0
2050,CO2,PT,0.0
2018,CO2,RO,0.0
2025,CO2,RO,0.0
2030,CO2,RO,0.0
2035,CO2,RO,0.0
2040,CO2,RO,0.0
