Year,Region,Emission,Value,Fuel
2018,AT,CO2,0.0200392455359924,Power
2025,AT,CO2,0.0004637054244934782,Power
2018,BE,CO2,0.012852458596814257,Power
2025,BE,CO2,0.0020969206673164893,Power
2018,BG,CO2,0.0938777022746882,Power
2025,BG,CO2,1.440309417468106e-5,Power
2018,CH,CO2,0.0042968378393306444,Power
2018,CZ,CO2,0.07541629773226248,Power
2018,DE,CO2,0.04296686549208812,Power
2025,DE,CO2,-0.04132459010038276,Power
2030,DE,CO2,-0.033997548560850924,Power
2035,DE,CO2,-0.031697291317902214,Power
2040,DE,CO2,-0.030491699303237862,Power
2045,DE,CO2,-0.0272537232944103,Power
2050,DE,CO2,-0.026745514904932315,Power
2018,DK,CO2,0.02262008050233931,Power
2025,DK,CO2,0.00038115565913040395,Power
2030,DK,CO2,-0.019089996647692842,Power
2035,DK,CO2,-0.014665110332323697,Power
2040,DK,CO2,-0.02184287108191736,Power
2045,DK,CO2,-0.022151047256401157,Power
2050,DK,CO2,-0.02499684099995692,Power
2018,EE,CO2,0.18436998961354298,Power
2018,ES,CO2,0.05613474711866246,Power
2025,ES,CO2,-0.006902867796947795,Power
2030,ES,CO2,-0.005434307565537954,Power
2035,ES,CO2,-0.004267659566602106,Power
2040,ES,CO2,-0.004399772003661162,Power
2045,ES,CO2,-0.005095263274005997,Power
2050,ES,CO2,-0.006654921859136759,Power
2018,GR,CO2,0.11148313211776106,Power
2025,GR,CO2,0.00027573758224618146,Power
2018,HR,CO2,0.041901218498646316,Power
2025,HR,CO2,0.0001204538405980939,Power
2018,HU,CO2,0.05224495836257047,Power
2025,HU,CO2,0.0024422621057055933,Power
2018,IE,CO2,0.08917981146412572,Power
2025,IE,CO2,-0.027920524161275998,Power
2030,IE,CO2,-0.01539069331179803,Power
2035,IE,CO2,-0.01475814406545098,Power
2040,IE,CO2,-0.01700672688245988,Power
2045,IE,CO2,-0.01667963035093522,Power
2050,IE,CO2,-0.01584010797150175,Power
2018,IT,CO2,0.07090275835637835,Power
2025,IT,CO2,0.00016302770609818445,Power
2018,LT,CO2,0.03511182824572854,Power
2025,LT,CO2,-0.0010373221745412955,Power
2030,LT,CO2,-0.0007792561752060686,Power
2035,LT,CO2,-0.0018149778590772277,Power
2040,LT,CO2,-0.0033754115367491087,Power
2045,LT,CO2,-0.003957039075788973,Power
2050,LT,CO2,-0.004546627267974693,Power
2018,LU,CO2,0.009515373288015962,Power
2018,LV,CO2,0.04755837434722435,Power
2018,NL,CO2,0.10094216356682141,Power
2025,NL,CO2,-0.0326842858637565,Power
2030,NL,CO2,-0.017048030292428774,Power
2035,NL,CO2,-0.016836436844114535,Power
2040,NL,CO2,-0.028943936318441138,Power
2045,NL,CO2,-0.027049994768906856,Power
2050,NL,CO2,-0.03452766341311205,Power
2018,NO,CO2,0.0013069019160604103,Power
2025,NO,CO2,-0.010955872207961917,Power
2030,NO,CO2,-0.00663221898045763,Power
2035,NO,CO2,-0.00664013631411969,Power
2040,NO,CO2,-0.005831795635564031,Power
2045,NO,CO2,-0.0059527100586299585,Power
2050,NO,CO2,-0.0064870143931010414,Power
2018,PL,CO2,0.1957299023930967,Power
2025,PL,CO2,0.001952833710752456,Power
2030,PL,CO2,-0.0006486310105937155,Power
2035,PL,CO2,-0.0002302524520464345,Power
2040,PL,CO2,-0.008839896129850446,Power
2045,PL,CO2,-0.020053112323780244,Power
2050,PL,CO2,-0.027619337248132363,Power
2018,PT,CO2,0.07071933367556622,Power
2018,RO,CO2,0.06475431211864682,Power
2018,SI,CO2,0.04065863494007405,Power
2025,SI,CO2,0.0003217824973230666,Power
2018,SK,CO2,0.024665341649179565,Power
2025,SK,CO2,0.0006120656213931724,Power
2018,TR,CO2,0.11388173011913438,Power
2018,UK,CO2,0.051036345372808184,Power
2025,UK,CO2,-0.005578955923406548,Power
2030,UK,CO2,-0.003045275999933232,Power
2035,UK,CO2,-0.0031246252592877807,Power
2040,UK,CO2,-0.017683814564873772,Power
2045,UK,CO2,-0.01849531471508751,Power
2050,UK,CO2,-0.018839272597813043,Power
2018,NONEU_Balkan,CO2,0.06442521219717877,Power
