Region,Fuel,Year,Value,Variable
AT,Biomass,2018,3.8930953551340877,Fuel Costs in MEUR/PJ
BE,Biomass,2018,3.893095355134087,Fuel Costs in MEUR/PJ
BG,Biomass,2018,3.8930953551340863,Fuel Costs in MEUR/PJ
CH,Biomass,2018,3.8930953551340863,Fuel Costs in MEUR/PJ
CZ,Biomass,2018,3.893095355134087,Fuel Costs in MEUR/PJ
DE,Biomass,2018,3.8930953551340877,Fuel Costs in MEUR/PJ
DK,Biomass,2018,3.8930953551340863,Fuel Costs in MEUR/PJ
EE,Biomass,2018,3.893095355134087,Fuel Costs in MEUR/PJ
ES,Biomass,2018,3.8930953551340863,Fuel Costs in MEUR/PJ
FI,Biomass,2018,3.8930953551340877,Fuel Costs in MEUR/PJ
FR,Biomass,2018,3.8930953551340868,Fuel Costs in MEUR/PJ
GR,Biomass,2018,3.8930953551340863,Fuel Costs in MEUR/PJ
HR,Biomass,2018,3.8930953551340877,Fuel Costs in MEUR/PJ
HU,Biomass,2018,3.8930953551340868,Fuel Costs in MEUR/PJ
IE,Biomass,2018,3.8930953551340868,Fuel Costs in MEUR/PJ
IT,Biomass,2018,3.8930953551340868,Fuel Costs in MEUR/PJ
LT,Biomass,2018,3.8930953551340868,Fuel Costs in MEUR/PJ
LU,Biomass,2018,3.893095355134087,Fuel Costs in MEUR/PJ
LV,Biomass,2018,3.8930953551340863,Fuel Costs in MEUR/PJ
NL,Biomass,2018,3.893095355134088,Fuel Costs in MEUR/PJ
NO,Biomass,2018,3.8930953551340877,Fuel Costs in MEUR/PJ
PL,Biomass,2018,3.8930953551340877,Fuel Costs in MEUR/PJ
PT,Biomass,2018,3.893095355134087,Fuel Costs in MEUR/PJ
RO,Biomass,2018,3.8930953551340868,Fuel Costs in MEUR/PJ
SE,Biomass,2018,3.8930953551340863,Fuel Costs in MEUR/PJ
SI,Biomass,2018,3.8930953551340877,Fuel Costs in MEUR/PJ
SK,Biomass,2018,3.893095355134087,Fuel Costs in MEUR/PJ
TR,Biomass,2018,3.8708108377434063,Fuel Costs in MEUR/PJ
UK,Biomass,2018,3.893095355134087,Fuel Costs in MEUR/PJ
NONEU_Balkan,Biomass,2018,3.893095355134086,Fuel Costs in MEUR/PJ
AT,Hardcoal,2018,2.4044955948000006,Fuel Costs in MEUR/PJ
BE,Hardcoal,2018,2.4044955948000006,Fuel Costs in MEUR/PJ
BG,Hardcoal,2018,2.4044955947999997,Fuel Costs in MEUR/PJ
CH,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
CZ,Hardcoal,2018,2.4044955947999997,Fuel Costs in MEUR/PJ
DE,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
DK,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
EE,Hardcoal,2018,2.4044955947999997,Fuel Costs in MEUR/PJ
ES,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
FI,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
FR,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
GR,Hardcoal,2018,2.4044955948000006,Fuel Costs in MEUR/PJ
HR,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
HU,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
IE,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
IT,Hardcoal,2018,2.4044955948000006,Fuel Costs in MEUR/PJ
LT,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
LU,Hardcoal,2018,2.4044955948000006,Fuel Costs in MEUR/PJ
LV,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
NL,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
NO,Hardcoal,2018,2.4044955948000006,Fuel Costs in MEUR/PJ
PL,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
PT,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
RO,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
SE,Hardcoal,2018,2.4044955947999997,Fuel Costs in MEUR/PJ
SI,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
SK,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
TR,Hardcoal,2018,2.4044955947999997,Fuel Costs in MEUR/PJ
UK,Hardcoal,2018,2.4044955948000006,Fuel Costs in MEUR/PJ
NONEU_Balkan,Hardcoal,2018,2.4044955948,Fuel Costs in MEUR/PJ
AT,H2,2018,99.0,Fuel Costs in MEUR/PJ
BE,H2,2018,99.0,Fuel Costs in MEUR/PJ
BG,H2,2018,99.0,Fuel Costs in MEUR/PJ
CH,H2,2018,99.0,Fuel Costs in MEUR/PJ
CZ,H2,2018,99.0,Fuel Costs in MEUR/PJ
DE,H2,2018,99.0,Fuel Costs in MEUR/PJ
DK,H2,2018,99.0,Fuel Costs in MEUR/PJ
EE,H2,2018,99.0,Fuel Costs in MEUR/PJ
ES,H2,2018,99.0,Fuel Costs in MEUR/PJ
FI,H2,2018,99.0,Fuel Costs in MEUR/PJ
FR,H2,2018,99.0,Fuel Costs in MEUR/PJ
GR,H2,2018,99.0,Fuel Costs in MEUR/PJ
HR,H2,2018,99.0,Fuel Costs in MEUR/PJ
HU,H2,2018,99.0,Fuel Costs in MEUR/PJ
IE,H2,2018,99.0,Fuel Costs in MEUR/PJ
IT,H2,2018,99.0,Fuel Costs in MEUR/PJ
LT,H2,2018,99.0,Fuel Costs in MEUR/PJ
LU,H2,2018,99.0,Fuel Costs in MEUR/PJ
LV,H2,2018,99.0,Fuel Costs in MEUR/PJ
NL,H2,2018,99.0,Fuel Costs in MEUR/PJ
NO,H2,2018,99.0,Fuel Costs in MEUR/PJ
PL,H2,2018,99.0,Fuel Costs in MEUR/PJ
PT,H2,2018,99.0,Fuel Costs in MEUR/PJ
RO,H2,2018,99.0,Fuel Costs in MEUR/PJ
SE,H2,2018,99.0,Fuel Costs in MEUR/PJ
SI,H2,2018,99.0,Fuel Costs in MEUR/PJ
SK,H2,2018,99.0,Fuel Costs in MEUR/PJ
TR,H2,2018,99.0,Fuel Costs in MEUR/PJ
UK,H2,2018,99.0,Fuel Costs in MEUR/PJ
NONEU_Balkan,H2,2018,99.0,Fuel Costs in MEUR/PJ
AT,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
BE,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
BG,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
CH,Gas_Natural,2018,4.674634037385281,Fuel Costs in MEUR/PJ
CZ,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
DE,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
DK,Gas_Natural,2018,4.674634037385281,Fuel Costs in MEUR/PJ
EE,Gas_Natural,2018,4.674634037385281,Fuel Costs in MEUR/PJ
ES,Gas_Natural,2018,4.674634037385283,Fuel Costs in MEUR/PJ
FI,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
FR,Gas_Natural,2018,4.674634037385283,Fuel Costs in MEUR/PJ
GR,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
HR,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
HU,Gas_Natural,2018,4.674634037385281,Fuel Costs in MEUR/PJ
IE,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
IT,Gas_Natural,2018,4.674634037385283,Fuel Costs in MEUR/PJ
LT,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
LU,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
LV,Gas_Natural,2018,4.674634037385281,Fuel Costs in MEUR/PJ
NL,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
NO,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
PL,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
PT,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
RO,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
SE,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
SI,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
SK,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
TR,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
UK,Gas_Natural,2018,4.674634037385282,Fuel Costs in MEUR/PJ
NONEU_Balkan,Gas_Natural,2018,4.674634037385283,Fuel Costs in MEUR/PJ
AT,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
BE,Nuclear,2018,0.8169168605200946,Fuel Costs in MEUR/PJ
BG,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
CH,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
CZ,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
DE,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
DK,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
EE,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
ES,Nuclear,2018,0.8169168605200946,Fuel Costs in MEUR/PJ
FI,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
FR,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
GR,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
HR,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
HU,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
IE,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
IT,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
LT,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
LU,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
LV,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
NL,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
NO,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
PL,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
PT,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
RO,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
SE,Nuclear,2018,0.8169168605200944,Fuel Costs in MEUR/PJ
SI,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
SK,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
TR,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
UK,Nuclear,2018,0.8169168605200946,Fuel Costs in MEUR/PJ
NONEU_Balkan,Nuclear,2018,0.8169168605200945,Fuel Costs in MEUR/PJ
AT,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
BE,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
BG,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
CH,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
CZ,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
DE,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
DK,Oil,2018,4.525534213347844,Fuel Costs in MEUR/PJ
EE,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
ES,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
FI,Oil,2018,4.525534213347846,Fuel Costs in MEUR/PJ
FR,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
GR,Oil,2018,9.073529255700004,Fuel Costs in MEUR/PJ
HR,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
HU,Oil,2018,4.525534213347845,Fuel Costs in MEUR/PJ
IE,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
IT,Oil,2018,4.525534213347845,Fuel Costs in MEUR/PJ
LT,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
LU,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
LV,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
NL,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
NO,Oil,2018,4.5255342133478464,Fuel Costs in MEUR/PJ
PL,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
PT,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
RO,Oil,2018,4.525534213347845,Fuel Costs in MEUR/PJ
SE,Oil,2018,4.525534213347845,Fuel Costs in MEUR/PJ
SI,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
SK,Oil,2018,4.525534213347845,Fuel Costs in MEUR/PJ
TR,Oil,2018,9.073529255700004,Fuel Costs in MEUR/PJ
UK,Oil,2018,4.525534213347844,Fuel Costs in MEUR/PJ
NONEU_Balkan,Oil,2018,9.073529255700002,Fuel Costs in MEUR/PJ
AT,Mobility_Freight,2018,30.724539852396596,Fuel Costs in MEUR/PJ
BE,Mobility_Freight,2018,32.82212009842329,Fuel Costs in MEUR/PJ
BG,Mobility_Freight,2018,28.606841081388865,Fuel Costs in MEUR/PJ
CH,Mobility_Freight,2018,30.324910341038162,Fuel Costs in MEUR/PJ
CZ,Mobility_Freight,2018,32.05716214955972,Fuel Costs in MEUR/PJ
DE,Mobility_Freight,2018,32.141162196905164,Fuel Costs in MEUR/PJ
DK,Mobility_Freight,2018,23.532192705790305,Fuel Costs in MEUR/PJ
